Orthogroup	HELIO_ok	LYTVA_ok
OG0000000	HELIO_01999	LYTVA_01679
OG0000000	HELIO_08880	LYTVA_01380
OG0000000	HELIO_10837	LYTVA_25096
OG0000000	HELIO_06752	LYTVA_01827
OG0000000	HELIO_10666	LYTVA_18988
OG0000000	HELIO_00795	LYTVA_18985
OG0000000	HELIO_09005	LYTVA_21959
OG0000000	HELIO_02157	LYTVA_22602
OG0000000	HELIO_11687	LYTVA_19974
OG0000000	HELIO_04988	LYTVA_23667
OG0000000	HELIO_00700	LYTVA_22478
OG0000000	HELIO_00534	LYTVA_23047
OG0000000	HELIO_08573	LYTVA_06897, LYTVA_22068
OG0000000	HELIO_04994	LYTVA_29838
OG0000000	HELIO_06829	LYTVA_19015
OG0000000	HELIO_00816	LYTVA_23349
OG0000000	HELIO_04090	LYTVA_23351
OG0000001	HELIO_06891	LYTVA_04837
OG0000001	HELIO_10957	LYTVA_04757
OG0000001	HELIO_03121	LYTVA_09014, LYTVA_04284
OG0000001	HELIO_03866	LYTVA_22102
OG0000001	HELIO_06455	LYTVA_14761
OG0000002	HELIO_06940	LYTVA_28398
OG0000002	HELIO_06215	LYTVA_16491, LYTVA_27186, LYTVA_12758
OG0000002	HELIO_12339	LYTVA_12336
OG0000002	HELIO_07200	LYTVA_23101
OG0000002	HELIO_05970	LYTVA_29091
OG0000002	HELIO_10154	LYTVA_16674
OG0000002	HELIO_04237	LYTVA_22589
OG0000002	HELIO_03388	LYTVA_01784
OG0000002	HELIO_05342	LYTVA_09655, LYTVA_07085
OG0000002	HELIO_01248	LYTVA_29176
OG0000002	HELIO_10853	LYTVA_09815
OG0000002	HELIO_05585	LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551
OG0000002	HELIO_02102	LYTVA_25582
OG0000002	HELIO_10641	LYTVA_22408
OG0000003	HELIO_07277	LYTVA_23292
OG0000003	HELIO_06998, HELIO_07220	LYTVA_15536
OG0000003	HELIO_07314	LYTVA_06469
OG0000003	HELIO_00523, HELIO_01732	LYTVA_23212
OG0000003	HELIO_00130, HELIO_07060, HELIO_05284, HELIO_02003	LYTVA_11643
OG0000003	HELIO_04393	LYTVA_26946, LYTVA_14926
OG0000003	HELIO_00919	LYTVA_01168
OG0000004	HELIO_03376	LYTVA_08289, LYTVA_29289, LYTVA_22297
OG0000004	HELIO_00029, HELIO_11549, HELIO_05294	LYTVA_07389, LYTVA_03537
OG0000004	HELIO_05964, HELIO_06973	LYTVA_18533
OG0000004	HELIO_06422	LYTVA_23131
OG0000004	HELIO_08003	LYTVA_04400
OG0000004	HELIO_01465, HELIO_01464	LYTVA_13223
OG0000004	HELIO_11715	LYTVA_02998, LYTVA_25806
OG0000004	HELIO_04180	LYTVA_27196
OG0000004	HELIO_04162	LYTVA_06100
OG0000004	HELIO_06644, HELIO_05598	LYTVA_25040
OG0000004	HELIO_04311, HELIO_05602	LYTVA_08631
OG0000004	HELIO_12155	LYTVA_08482
OG0000004	HELIO_07295	LYTVA_22300
OG0000004	HELIO_00658	LYTVA_22328
OG0000004	HELIO_07359	LYTVA_28503
OG0000004	HELIO_02720	LYTVA_25768
OG0000004	HELIO_10453	LYTVA_12705
OG0000005	HELIO_02981	LYTVA_21648
OG0000005	HELIO_07411, HELIO_06771	LYTVA_20265
OG0000005	HELIO_04530	LYTVA_15340
OG0000005	HELIO_05062	LYTVA_12344
OG0000005	HELIO_02098	LYTVA_12436, LYTVA_12448, LYTVA_12437, LYTVA_01084, LYTVA_10225, LYTVA_01083, LYTVA_05447
OG0000005	HELIO_00211	LYTVA_21111
OG0000005	HELIO_09686	LYTVA_05821
OG0000005	HELIO_04655	LYTVA_12392
OG0000006	HELIO_09248	LYTVA_15901
OG0000006	HELIO_04245	LYTVA_03511
OG0000006	HELIO_08707	LYTVA_25253
OG0000006	HELIO_06349	LYTVA_07373
OG0000006	HELIO_00150	LYTVA_23957
OG0000006	HELIO_12770	LYTVA_29757
OG0000006	HELIO_00450	LYTVA_29412
OG0000006	HELIO_08227	LYTVA_16832
OG0000006	HELIO_06418	LYTVA_16844
OG0000006	HELIO_00028	LYTVA_23230
OG0000007	HELIO_01296	LYTVA_29912
OG0000007	HELIO_10106	LYTVA_22273
OG0000007	HELIO_00643	LYTVA_23216
OG0000007	HELIO_06396	LYTVA_18159
OG0000007	HELIO_00352	LYTVA_27359
OG0000007	HELIO_11129	LYTVA_10898
OG0000007	HELIO_04873	LYTVA_04121
OG0000007	HELIO_06738	LYTVA_25288
OG0000007	HELIO_03703	LYTVA_03206
OG0000007	HELIO_07978	LYTVA_12378
OG0000007	HELIO_03118	LYTVA_12480
OG0000007	HELIO_07991	LYTVA_06652
OG0000007	HELIO_01456	LYTVA_22810, LYTVA_20192
OG0000007	HELIO_04275	LYTVA_19839
OG0000007	HELIO_11721	LYTVA_05177
OG0000008	HELIO_10953, HELIO_01917	LYTVA_29228
OG0000008	HELIO_09201	LYTVA_11403
OG0000008	HELIO_07041	LYTVA_19861, LYTVA_22487
OG0000008	HELIO_01945	LYTVA_30051
OG0000008	HELIO_05140	LYTVA_21093
OG0000009	HELIO_03078	LYTVA_29726, LYTVA_09948, LYTVA_07513, LYTVA_08964, LYTVA_09966, LYTVA_22916, LYTVA_03297
