Orthogroup	HELIO_ok	ASTMX
OG0000000	HELIO_01999	ASTMX02793
OG0000000	HELIO_08880	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	HELIO_06752	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	HELIO_10666	ASTMX12494, ASTMX05790, ASTMX17479
OG0000000	HELIO_03148	ASTMX10847
OG0000000	HELIO_02157	ASTMX20299
OG0000000	HELIO_11687	ASTMX10234
OG0000000	HELIO_04988	ASTMX06178
OG0000000	HELIO_00534	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	HELIO_08573	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	HELIO_06829	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	HELIO_00816	ASTMX09511
OG0000000	HELIO_04090	ASTMX08520
OG0000001	HELIO_00196	ASTMX07756
OG0000001	HELIO_06891, HELIO_10957	ASTMX07323
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	ASTMX13878
OG0000002	HELIO_05342, HELIO_01248	ASTMX19248
OG0000003	HELIO_06998, HELIO_07220	ASTMX16763
OG0000003	HELIO_09381	ASTMX08462
OG0000003	HELIO_02003	ASTMX08463
OG0000004	HELIO_06422	ASTMX13606
OG0000004	HELIO_05213	ASTMX13574
OG0000005	HELIO_04655	ASTMX03244
OG0000006	HELIO_00413	ASTMX20216
OG0000006	HELIO_09248	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	HELIO_06349	ASTMX03256, ASTMX09680
OG0000006	HELIO_00150	ASTMX14682, ASTMX19702
OG0000006	HELIO_12770	ASTMX21126, ASTMX03352
OG0000006	HELIO_08890	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	HELIO_11381, HELIO_00450	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	HELIO_08227	ASTMX14827
OG0000006	HELIO_06418	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000007	HELIO_01296	ASTMX14980
OG0000007	HELIO_10106	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	HELIO_00643	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	HELIO_00352	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	HELIO_11362	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	HELIO_04873	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	HELIO_03703	ASTMX18062, ASTMX21262
OG0000007	HELIO_07978	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	HELIO_03118	ASTMX04966, ASTMX11650
OG0000007	HELIO_07991	ASTMX18779, ASTMX07711
OG0000007	HELIO_04275	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	HELIO_11721	ASTMX10986, ASTMX01681, ASTMX08450
OG0000010	HELIO_07073	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000010	HELIO_09797	ASTMX11060
OG0000011	HELIO_08950	ASTMX07900
OG0000011	HELIO_09981, HELIO_04800	ASTMX20794
OG0000011	HELIO_01241	ASTMX21233
OG0000011	HELIO_00959	ASTMX01926
