Orthogroup	HELIO_ok	DANRE
OG0000000	HELIO_01999	DANRE06436, DANRE05762
OG0000000	HELIO_08880	DANRE04899, DANRE05022, DANRE06714
OG0000000	HELIO_06752	DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	HELIO_10666	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	HELIO_03148	DANRE00977
OG0000000	HELIO_02157	DANRE04328, DANRE04330, DANRE04329
OG0000000	HELIO_11687	DANRE18867, DANRE18868
OG0000000	HELIO_04988	DANRE24278
OG0000000	HELIO_00534	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	HELIO_08573	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	HELIO_06829	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	HELIO_00816	DANRE11796, DANRE11795, DANRE18798
OG0000001	HELIO_06891, HELIO_10957	DANRE29550
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	DANRE16673
OG0000002	HELIO_05342, HELIO_01248	DANRE38244, DANRE38242, DANRE38243
OG0000002	HELIO_12021, HELIO_07207	DANRE23574
OG0000004	HELIO_03376, HELIO_00029, HELIO_11549, HELIO_05294	DANRE31040
OG0000004	HELIO_06422	DANRE41389, DANRE41390
OG0000005	HELIO_04655	DANRE11160
OG0000006	HELIO_09248	DANRE40167, DANRE35529, DANRE26614, DANRE26613
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	HELIO_06349	DANRE11213, DANRE11212, DANRE11601
OG0000006	HELIO_00150	DANRE30064, DANRE15483
OG0000006	HELIO_12770	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	HELIO_08890	DANRE20981, DANRE28318, DANRE19321
OG0000006	HELIO_11381, HELIO_00450	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	HELIO_08227	DANRE11156, DANRE11155
OG0000006	HELIO_06418	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000007	HELIO_01296	DANRE26275, DANRE17982
OG0000007	HELIO_10106	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	HELIO_00643	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	HELIO_00352	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	HELIO_11362	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	HELIO_11129	DANRE12664
OG0000007	HELIO_04873	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	HELIO_06738	DANRE21702
OG0000007	HELIO_03703	DANRE08320, DANRE33659
OG0000007	HELIO_07978	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	HELIO_03118	DANRE30028, DANRE03038, DANRE28801
OG0000007	HELIO_07991	DANRE30495, DANRE03657, DANRE03658
OG0000007	HELIO_04275	DANRE02453, DANRE09326, DANRE09325
OG0000007	HELIO_11721	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000010	HELIO_07073	DANRE34456, DANRE07824, DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000011	HELIO_09607	DANRE34035, DANRE34036
OG0000012	HELIO_04072, HELIO_05750	DANRE38177, DANRE38176
OG0000012	HELIO_06831	DANRE12655, DANRE12656, DANRE12659
OG0000014	HELIO_12068	DANRE17251, DANRE43403
OG0000014	HELIO_10724	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	HELIO_10798	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	HELIO_05456	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	HELIO_09779	DANRE35611
OG0000016	HELIO_04647	DANRE02012
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	HELIO_01806	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138
OG0000018	HELIO_06652	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202
OG0000018	HELIO_06631, HELIO_07465, HELIO_07089, HELIO_06040, HELIO_03912, HELIO_03992, HELIO_02946	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	HELIO_05389	DANRE13954, DANRE13946
OG0000019	HELIO_11234	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	HELIO_01087	DANRE10670
OG0000020	HELIO_08119	DANRE40536
OG0000020	HELIO_10764	DANRE42755
OG0000020	HELIO_10811	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	HELIO_12285	DANRE27431, DANRE27432, DANRE27433
OG0000020	HELIO_05828	DANRE06741, DANRE06740, DANRE15747
OG0000020	HELIO_10575	DANRE22958, DANRE22959
OG0000020	HELIO_05888	DANRE06663, DANRE06664
OG0000020	HELIO_08365	DANRE18984
OG0000020	HELIO_01918	DANRE27379
OG0000021	HELIO_02163	DANRE39795, DANRE39796, DANRE22480
OG0000021	HELIO_09128	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603	DANRE37717, DANRE02277
OG0000021	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069	DANRE27401, DANRE27403, DANRE27400
