#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_12_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_12_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_12_promoters/0.947124896877543.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_12_promoters/target.clean..pos
BGpeak73832	Scaffold_7_1_contigs	33420240	33420455	+	0.000	0.000	TCONS_00051894
BGpeak2682	Scaffold_10_1_contigs	37339199	37339798	+	0.000	0.000	TCONS_00002221
BGpeak2699	Scaffold_10_1_contigs	37620549	37621018	+	0.000	0.000	TCONS_00001054
BGpeak21642	Scaffold_14_1_contigs	38168877	38169094	+	0.000	0.000	TCONS_00010700
BGpeak74433	Scaffold_7_1_contigs	39166693	39167044	+	0.000	0.000	TCONS_00052055
BGpeak5420	Scaffold_11_1_contigs	22469631	22469946	+	0.000	0.000	TCONS_00004069
BGpeak5650	Scaffold_11_1_contigs	25536025	25536530	+	0.000	0.000	TCONS_00004148
BGpeak24818	Scaffold_15_1_contigs	28344964	28345270	+	0.000	0.000	TCONS_00014245
BGpeak60179	Scaffold_4_1_contigs	10497380	10497782	+	0.000	0.000	TCONS_00043166
BGpeak26829	Scaffold_16_1_contigs	7213487	7214631	+	0.000	0.000	TCONS_00014814
BGpeak27069	Scaffold_16_1_contigs	9422446	9422716	+	0.000	0.000	TCONS_00015944
BGpeak62847	Scaffold_4_1_contigs	41376055	41376425	+	0.000	0.000	TCONS_00044010
BGpeak10354	Scaffold_12_1_contigs	5916165	5916575	+	0.000	0.000	TCONS_00006048
BGpeak10372	Scaffold_12_1_contigs	6060415	6060578	+	0.000	0.000	TCONS_00004749
BGpeak28196	Scaffold_16_1_contigs	21058236	21058477	+	0.000	0.000	TCONS_00015162
BGpeak12344	Scaffold_12_1_contigs	25180016	25180210	+	0.000	0.000	TCONS_00006554
BGpeak66497	Scaffold_5_1_contigs	33880249	33880599	+	0.000	0.000	TCONS_00046522
BGpeak66713	Scaffold_5_1_contigs	38845690	38845961	+	0.000	0.000	TCONS_00046619
BGpeak15367	Scaffold_13_1_contigs	20241001	20241503	+	0.000	0.000	TCONS_00008840
BGpeak50113	Scaffold_2_1_contigs	44676387	44676771	+	0.000	0.000	TCONS_00036923
BGpeak50393	Scaffold_2_1_contigs	49161435	49161626	+	0.000	0.000	TCONS_00038194
BGpeak68310	Scaffold_6_1_contigs	8764075	8764301	+	0.000	0.000	TCONS_00047439
BGpeak68939	Scaffold_6_1_contigs	16461563	16461978	+	0.000	0.000	TCONS_00047608
BGpeak16733	Scaffold_13_1_contigs	35598445	35598834	+	0.000	0.000	TCONS_00009291
BGpeak69081	Scaffold_6_1_contigs	17434302	17434606	+	0.000	0.000	TCONS_00047631
BGpeak69612	Scaffold_6_1_contigs	24489996	24490231	+	0.000	0.000	TCONS_00047873
BGpeak19436	Scaffold_14_1_contigs	17918073	17918423	+	0.000	0.000	TCONS_00010052
BGpeak19547	Scaffold_14_1_contigs	18491635	18491953	+	0.000	0.000	TCONS_00010072
BGpeak19601	Scaffold_14_1_contigs	18998073	18998509	+	0.000	0.000	TCONS_00011430
BGpeak19906	Scaffold_14_1_contigs	21135553	21135884	+	0.000	0.000	TCONS_00011509
BGpeak54745	Scaffold_23_1_contigs	27065996	27066181	+	0.000	0.000	TCONS_00032674
BGpeak54992	Scaffold_24_1_contigs	4838313	4838505	+	0.000	0.000	TCONS_00033256
BGpeak872	Scaffold_10_1_contigs	11501604	11502155	+	0.000	0.000	TCONS_00000410
BGpeak966	Scaffold_10_1_contigs	12096954	12097150	+	0.000	0.000	TCONS_00001550
BGpeak59373	Scaffold_39_1_contigs	285081	285277	+	0.000	0.000	TCONS_00039134
BGpeak42249	Scaffold_20_1_contigs	20610970	20611569	+	0.000	0.000	TCONS_00026475
BGpeak42914	Scaffold_20_1_contigs	26864878	26865337	+	0.000	0.000	TCONS_00027570
BGpeak45005	Scaffold_21_1_contigs	9170640	9171282	+	0.000	0.000	TCONS_00029143
BGpeak80428	Scaffold_9_1_contigs	22319238	22319550	+	0.000	0.000	TCONS_00056606
BGpeak80453	Scaffold_9_1_contigs	22835278	22835444	+	0.000	0.000	TCONS_00056614
BGpeak80478	Scaffold_9_1_contigs	23044626	23045453	+	0.000	0.000	TCONS_00056620
BGpeak46055	Scaffold_21_1_contigs	19658686	19659044	+	0.000	0.000	TCONS_00028396
BGpeak46324	Scaffold_21_1_contigs	22773081	22773255	+	0.000	0.000	TCONS_00028459
BGpeak81463	Scaffold_9_1_contigs	33630258	33630560	+	0.000	0.000	TCONS_00055755
BGpeak47091	Scaffold_21_1_contigs	29539830	29540444	+	0.000	0.000	TCONS_00029714
BGpeak48681	Scaffold_2_1_contigs	20340331	20340604	+	0.000	0.000	TCONS_00037525
BGpeak32555	Scaffold_17_1_contigs	34018634	34019246	+	0.000	0.000	TCONS_00018745
BGpeak34994	Scaffold_18_1_contigs	21747431	21747657	+	0.000	0.000	TCONS_00019370
BGpeak35828	Scaffold_18_1_contigs	32303727	32304299	+	0.000	0.000	TCONS_00019617
BGpeak70557	Scaffold_6_1_contigs	35549325	35549570	+	0.000	0.000	TCONS_00048172
BGpeak36861	Scaffold_19_1_contigs	3394650	3395012	+	0.000	0.000	TCONS_00021942
BGpeak71706	Scaffold_6_1_contigs	47108395	47108966	+	0.000	0.000	TCONS_00048530
BGpeak37462	Scaffold_19_1_contigs	13085243	13085449	+	0.000	0.000	TCONS_00022213
BGpeak37841	Scaffold_19_1_contigs	19726089	19726647	+	0.000	0.000	TCONS_00022397
BGpeak1376	Scaffold_10_1_contigs	19996104	19996313	+	0.000	0.000	TCONS_00000640
