Orthogroup	OWEFU	CAEEL
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	CAEEL18735
OG0000000	OFUSG18918.1.p1	CAEEL01893
OG0000000	OFUSG06560.1.p1	CAEEL08140
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	CAEEL18754
OG0000000	OFUSG06970.1.p1	CAEEL06523
OG0000000	OFUSG05968.1.p1	CAEEL00081
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1, OFUSG07307.1.p1	CAEEL18467, CAEEL18466
OG0000000	OFUSG09074.1.p1	CAEEL04771
OG0000000	OFUSG17443.1.p1	CAEEL10851
OG0000000	OFUSG19303.1.p1	CAEEL18086
OG0000000	OFUSG17426.1.p1	CAEEL05734
OG0000000	OFUSG13332.1.p1	CAEEL08092
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1, OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1, OFUSG03302.1.p1, OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1, OFUSG13335.1.p1, OFUSG13336.1.p1	CAEEL08135, CAEEL08091
OG0000000	OFUSG17003.1.p1	CAEEL00979
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	CAEEL19601
OG0000000	OFUSG23416.1.p1	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	OFUSG03177.1.p1	CAEEL07441
OG0000000	OFUSG13341.1.p1	CAEEL08137, CAEEL17599
OG0000000	OFUSG12947.1.p1	CAEEL08875
OG0000000	OFUSG06109.1.p1, OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1, OFUSG21806.1.p1	CAEEL16213
OG0000001	OFUSG17419.1.p1	CAEEL14831
OG0000001	OFUSG10216.1.p1, OFUSG15117.1.p1	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770
OG0000001	OFUSG13301.1.p1, OFUSG13891.1.p1, OFUSG11967.1.p1	CAEEL14137
OG0000001	OFUSG04205.1.p1	CAEEL17898, CAEEL19147
OG0000001	OFUSG07127.1.p1, OFUSG03269.1.p1	CAEEL00597, CAEEL06285
OG0000001	OFUSG06369.1.p1, OFUSG09030.1.p1	CAEEL10382
OG0000002	OFUSG18506.1.p1	CAEEL18977
OG0000003	OFUSG21334.1.p1	CAEEL18127
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	CAEEL14751
OG0000003	OFUSG12884.1.p1	CAEEL20577
OG0000003	OFUSG03893.1.p1, OFUSG08977.2.p1, OFUSG08977.1.p1, OFUSG21073.1.p1	CAEEL19939
OG0000005	OFUSG03264.1.p1	CAEEL05785, CAEEL06862
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	CAEEL13168
OG0000005	OFUSG14951.1.p1, OFUSG10608.1.p1, OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1, OFUSG26276.1.p1	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	OFUSG02905.1.p1	CAEEL00696
OG0000006	OFUSG03891.1.p1	CAEEL19824
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	CAEEL07700
OG0000006	OFUSG10782.1.p1	CAEEL05532
OG0000006	OFUSG08659.1.p1	CAEEL01533
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	CAEEL12101
OG0000006	OFUSG11740.1.p1	CAEEL00153
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	CAEEL17819
OG0000006	OFUSG11470.1.p1	CAEEL15182
OG0000007	OFUSG09476.1.p1	CAEEL04050
OG0000007	OFUSG21527.1.p1	CAEEL17965
OG0000007	OFUSG13716.1.p1	CAEEL05829
OG0000007	OFUSG04768.1.p1	CAEEL01108
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	CAEEL01984
OG0000007	OFUSG10014.1.p1, OFUSG24641.1.p1, OFUSG25429.1.p1, OFUSG21828.2.p1, OFUSG21828.1.p1	CAEEL10238, CAEEL04602
OG0000007	OFUSG25241.1.p1	CAEEL18586
OG0000008	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1	CAEEL19465, CAEEL14382
OG0000010	OFUSG05937.1.p1	CAEEL10534
OG0000010	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1	CAEEL04259
OG0000010	OFUSG10776.1.p1	CAEEL10902
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	CAEEL20690
OG0000012	OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698
OG0000013	OFUSG13136.1.p1, OFUSG22072.1.p1, OFUSG02692.1.p1, OFUSG22268.1.p1, OFUSG23241.1.p1	CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591
