Orthogroup	OWEFU	BRAFL
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	bflo_10712, bflo_10733
OG0000000	OFUSG13305.1.p1	bflo_04183
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	bflo_24421, bflo_24425, bflo_09165
OG0000000	OFUSG18918.1.p1	bflo_24954
OG0000000	OFUSG06560.1.p1	bflo_08798
OG0000000	OFUSG05755.1.p1	bflo_09701
OG0000000	OFUSG06970.1.p1	bflo_10072
OG0000000	OFUSG05968.1.p1	bflo_10147
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	bflo_16599
OG0000000	OFUSG08786.1.p1	bflo_24252
OG0000000	OFUSG09074.1.p1	bflo_08732
OG0000000	OFUSG17443.1.p1	bflo_26435
OG0000000	OFUSG19303.1.p1	bflo_10637
OG0000000	OFUSG12013.1.p1	bflo_19045
OG0000000	OFUSG17426.1.p1	bflo_00450
OG0000000	OFUSG13332.1.p1	bflo_00191
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	bflo_15523
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	bflo_00189, bflo_00196
OG0000000	OFUSG13338.1.p1	bflo_00195
OG0000000	OFUSG13335.1.p1	bflo_00192
OG0000000	OFUSG13336.1.p1	bflo_00197
OG0000000	OFUSG17003.1.p1	bflo_00617, bflo_23916
OG0000000	OFUSG21200.1.p1	bflo_00176
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	bflo_10639
OG0000000	OFUSG23416.1.p1	bflo_26443
OG0000000	OFUSG03177.1.p1, OFUSG13341.1.p1	bflo_14857
OG0000000	OFUSG12947.1.p1	bflo_00526
OG0000000	OFUSG05775.1.p1	bflo_10437
OG0000000	OFUSG06109.1.p1	bflo_10148
OG0000000	OFUSG21806.1.p1	bflo_18457
OG0000001	OFUSG04431.1.p1	bflo_16887
OG0000001	OFUSG08662.1.p1	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	OFUSG17419.1.p1	bflo_22815, bflo_07671
OG0000001	OFUSG10216.1.p1, OFUSG15117.1.p1	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450
OG0000001	OFUSG06637.1.p1	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000001	OFUSG07127.1.p1, OFUSG03269.1.p1	bflo_27403
OG0000002	OFUSG00560.1.p1	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
OG0000002	OFUSG12055.1.p1	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588
OG0000002	OFUSG12538.1.p1	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984
OG0000003	OFUSG18790.1.p1	bflo_04790
OG0000003	OFUSG12884.1.p1	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	OFUSG05924.1.p1	bflo_15766
OG0000003	OFUSG23315.1.p1	bflo_26929
OG0000003	OFUSG08977.2.p1, OFUSG08977.1.p1	bflo_09845
OG0000003	OFUSG23317.1.p1	bflo_18522
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
