Orthogroup	OWEFU	AENJA_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	AENJA_00110
OG0000000	OFUSG13305.1.p1	AENJA_23461
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	AENJA_26081
OG0000000	OFUSG18918.1.p1	AENJA_24355
OG0000000	OFUSG06560.1.p1	AENJA_09148
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	AENJA_23544
OG0000000	OFUSG06970.1.p1	AENJA_09172
OG0000000	OFUSG05968.1.p1	AENJA_06471
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	AENJA_01537
OG0000000	OFUSG08786.1.p1	AENJA_09519
OG0000000	OFUSG17443.1.p1	AENJA_05531
OG0000000	OFUSG19303.1.p1	AENJA_07481
OG0000000	OFUSG12013.1.p1	AENJA_25905
OG0000000	OFUSG13332.1.p1	AENJA_15854
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	AENJA_12748
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	AENJA_15855
OG0000000	OFUSG03302.1.p1	AENJA_12751
OG0000000	OFUSG13338.1.p1	AENJA_05807
OG0000000	OFUSG13335.1.p1	AENJA_15859
OG0000000	OFUSG13336.1.p1	AENJA_15861
OG0000000	OFUSG17003.1.p1	AENJA_22692
OG0000000	OFUSG21200.1.p1	AENJA_20015
OG0000000	OFUSG03177.1.p1	AENJA_21459
OG0000000	OFUSG13341.1.p1	AENJA_05805
OG0000000	OFUSG12947.1.p1	AENJA_01755
OG0000000	OFUSG05775.1.p1	AENJA_10279
OG0000000	OFUSG06109.1.p1	AENJA_05264
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	AENJA_18954
OG0000000	OFUSG21806.1.p1	AENJA_18955
OG0000001	OFUSG08662.1.p1	AENJA_26229
OG0000001	OFUSG21348.1.p1, OFUSG06637.1.p1, OFUSG07880.1.p1, OFUSG17580.1.p1, OFUSG11591.1.p1, OFUSG11593.1.p1, OFUSG06797.1.p1, OFUSG05636.1.p1, OFUSG14751.1.p1, OFUSG02932.1.p1, OFUSG01783.1.p1, OFUSG01765.1.p1, OFUSG01912.1.p1	AENJA_06007
OG0000001	OFUSG13301.1.p1	AENJA_08321, AENJA_04251, AENJA_04252, AENJA_14378
OG0000001	OFUSG13891.1.p1	AENJA_09599, AENJA_01806
OG0000001	OFUSG11967.1.p1	AENJA_19759
OG0000001	OFUSG17423.1.p1	AENJA_04483
OG0000002	OFUSG00560.1.p1	AENJA_03072
OG0000002	OFUSG12055.1.p1	AENJA_19547, AENJA_15292
OG0000002	OFUSG22946.2.p1	AENJA_00531
OG0000002	OFUSG18506.1.p1	AENJA_05471, AENJA_03252
OG0000003	OFUSG26533.1.p1	AENJA_04022
OG0000003	OFUSG16264.1.p1	AENJA_21345
OG0000003	OFUSG21334.1.p1	AENJA_15435
OG0000003	OFUSG12884.1.p1	AENJA_21338
OG0000003	OFUSG26297.1.p1	AENJA_06107
OG0000003	OFUSG04319.1.p1	AENJA_03277, AENJA_12218
OG0000003	OFUSG23734.1.p1, OFUSG18791.1.p1, OFUSG23315.1.p1	AENJA_02043
OG0000003	OFUSG03893.1.p1	AENJA_22000
OG0000003	OFUSG04605.1.p1	AENJA_21667
OG0000003	OFUSG23317.1.p1	AENJA_00543
OG0000004	OFUSG26229.2.p1, OFUSG18850.1.p1	AENJA_03959
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	AENJA_03929
OG0000004	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1	AENJA_17546
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	AENJA_17910, AENJA_16714, AENJA_24985
