Orthogroup	OWEFU	LYTVA_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	LYTVA_01679
OG0000000	OFUSG13305.1.p1	LYTVA_23170
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	LYTVA_01380
OG0000000	OFUSG06560.1.p1	LYTVA_25096
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	LYTVA_01827
OG0000000	OFUSG06970.1.p1	LYTVA_18988
OG0000000	OFUSG05968.1.p1	LYTVA_18985
OG0000000	OFUSG08786.1.p1	LYTVA_13103
OG0000000	OFUSG17443.1.p1	LYTVA_21959
OG0000000	OFUSG19303.1.p1	LYTVA_22602
OG0000000	OFUSG12013.1.p1	LYTVA_19974
OG0000000	OFUSG17426.1.p1	LYTVA_27704
OG0000000	OFUSG13332.1.p1	LYTVA_08678
OG0000000	OFUSG03302.1.p1	LYTVA_23667
OG0000000	OFUSG13338.1.p1	LYTVA_22477
OG0000000	OFUSG13336.1.p1	LYTVA_22480
OG0000000	OFUSG17003.1.p1	LYTVA_23047
OG0000000	OFUSG21200.1.p1	LYTVA_14838
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	LYTVA_06897
OG0000000	OFUSG03177.1.p1	LYTVA_22714
OG0000000	OFUSG13341.1.p1	LYTVA_09826
OG0000000	OFUSG12947.1.p1	LYTVA_19015
OG0000000	OFUSG05775.1.p1	LYTVA_26599
OG0000000	OFUSG06109.1.p1	LYTVA_17046
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	LYTVA_23349
OG0000000	OFUSG21806.1.p1	LYTVA_23351
OG0000001	OFUSG08662.1.p1	LYTVA_16225
OG0000001	OFUSG17423.1.p1	LYTVA_16521
OG0000002	OFUSG00560.1.p1	LYTVA_28398
OG0000002	OFUSG12055.1.p1	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000003	OFUSG18790.1.p1	LYTVA_23292
OG0000003	OFUSG26305.1.p1	LYTVA_21606
OG0000003	OFUSG19225.1.p1	LYTVA_03030
OG0000003	OFUSG16264.1.p1	LYTVA_15536
OG0000003	OFUSG21334.1.p1	LYTVA_06976
OG0000003	OFUSG26297.1.p1	LYTVA_06469
OG0000003	OFUSG23317.1.p1	LYTVA_27358
OG0000004	OFUSG26229.2.p1, OFUSG18850.1.p1, OFUSG20734.1.p1	LYTVA_07389, LYTVA_03537
