Orthogroup	OWEFU	ORYLA
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	ORYLA04928
OG0000000	OFUSG13305.1.p1	ORYLA07037, ORYLA08538
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	ORYLA05297
OG0000000	OFUSG18918.1.p1	ORYLA07510, ORYLA04677
OG0000000	OFUSG05755.1.p1	ORYLA04924, ORYLA08113
OG0000000	OFUSG06970.1.p1	ORYLA18170
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	ORYLA02858, ORYLA12900
OG0000000	OFUSG08786.1.p1	ORYLA03677
OG0000000	OFUSG12013.1.p1	ORYLA11446
OG0000000	OFUSG13332.1.p1	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	ORYLA04170, ORYLA18990
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	OFUSG03302.1.p1	ORYLA09108
OG0000000	OFUSG13335.1.p1	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	OFUSG13336.1.p1	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	OFUSG17003.1.p1	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	OFUSG21200.1.p1	ORYLA08225, ORYLA06162
OG0000000	OFUSG05672.1.p1	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	OFUSG03177.1.p1	ORYLA01029, ORYLA04459
OG0000000	OFUSG13341.1.p1	ORYLA04630
OG0000000	OFUSG12947.1.p1	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	OFUSG05775.1.p1	ORYLA05044, ORYLA00932
OG0000000	OFUSG06109.1.p1	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	ORYLA11797, ORYLA10603
OG0000000	OFUSG21806.1.p1	ORYLA10060
