Orthogroup	OWEFU	DROME
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	DROME16218, DROME16219
OG0000000	OFUSG13305.1.p1	DROME04813
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	DROME14805, DROME14806
OG0000000	OFUSG06560.1.p1	DROME15599
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	DROME15463, DROME15462
OG0000000	OFUSG06970.1.p1	DROME11250
OG0000000	OFUSG05968.1.p1	DROME14878
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	DROME21328, DROME21327
OG0000000	OFUSG09074.1.p1	DROME03422
OG0000000	OFUSG17443.1.p1	DROME12799
OG0000000	OFUSG19303.1.p1	DROME16097
OG0000000	OFUSG12013.1.p1	DROME01107
OG0000000	OFUSG17426.1.p1	DROME17319
OG0000000	OFUSG13332.1.p1	DROME13389, DROME13388
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	DROME11314
OG0000000	OFUSG03302.1.p1	DROME13415
OG0000000	OFUSG13338.1.p1	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	OFUSG13339.1.p1, OFUSG13340.1.p1	DROME15339, DROME15340
OG0000000	OFUSG13335.1.p1	DROME13413
OG0000000	OFUSG13336.1.p1	DROME13414
OG0000000	OFUSG17003.1.p1	DROME10025
OG0000000	OFUSG21200.1.p1	DROME16399
OG0000000	OFUSG05672.1.p1	DROME17718
OG0000000	OFUSG03177.1.p1	DROME03546, DROME03545
OG0000000	OFUSG13341.1.p1	DROME13420
OG0000000	OFUSG12947.1.p1	DROME04989
OG0000000	OFUSG05775.1.p1	DROME16202
OG0000000	OFUSG06109.1.p1, OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1, OFUSG21806.1.p1	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	OFUSG21348.1.p1, OFUSG06637.1.p1	DROME04936, DROME08706, DROME19770
OG0000001	OFUSG07880.1.p1, OFUSG17580.1.p1, OFUSG11591.1.p1, OFUSG11593.1.p1, OFUSG06797.1.p1, OFUSG05636.1.p1, OFUSG14751.1.p1, OFUSG02932.1.p1, OFUSG01783.1.p1, OFUSG01765.1.p1, OFUSG01912.1.p1	DROME02157, DROME03345
OG0000002	OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1	DROME14626, DROME12189, DROME02894
OG0000005	OFUSG03264.1.p1	DROME07278, DROME16769, DROME16768
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	DROME15227
OG0000006	OFUSG02905.1.p1	DROME08113
OG0000006	OFUSG14509.1.p1	DROME01994, DROME01995, DROME01996
OG0000006	OFUSG25514.1.p1	DROME07928
OG0000006	OFUSG03891.1.p1	DROME00146
OG0000006	OFUSG14428.1.p1	DROME00104
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	DROME19258, DROME19257, DROME19259
OG0000006	OFUSG10782.1.p1	DROME21396
OG0000006	OFUSG14810.1.p1	DROME15583
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	OFUSG08660.1.p1	DROME07420
OG0000006	OFUSG21061.1.p1	DROME19786
OG0000006	OFUSG18090.1.p1	DROME00664
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	DROME18045, DROME18046, DROME18044
OG0000006	OFUSG11740.1.p1	DROME00147, DROME00148
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	DROME19780, DROME19779, DROME19781
OG0000006	OFUSG11470.1.p1	DROME21674, DROME21675, DROME21673
OG0000007	OFUSG09476.1.p1	DROME16994, DROME16993
OG0000007	OFUSG21527.1.p1	DROME17568, DROME17567
OG0000007	OFUSG13716.1.p1	DROME07864
OG0000007	OFUSG23682.1.p1, OFUSG05364.1.p1	DROME09292
OG0000007	OFUSG09682.1.p1, OFUSG09683.1.p1	DROME18346
