Orthogroup	OWEFU	HUMAN
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	HUMAN22097, HUMAN03752
OG0000000	OFUSG13305.1.p1	HUMAN27271, HUMAN18431
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	OFUSG18918.1.p1	HUMAN03687, HUMAN17114, HUMAN03688
OG0000000	OFUSG05755.1.p1	HUMAN03743, HUMAN22196
OG0000000	OFUSG06970.1.p1	HUMAN03805, HUMAN22626
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	HUMAN29337, HUMAN01254
OG0000000	OFUSG08786.1.p1	HUMAN28889, HUMAN05731
OG0000000	OFUSG09074.1.p1	HUMAN05644
OG0000000	OFUSG19303.1.p1	HUMAN03433
OG0000000	OFUSG12013.1.p1	HUMAN02527
OG0000000	OFUSG13332.1.p1	HUMAN17907, HUMAN26096
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	HUMAN07512, HUMAN22413
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	HUMAN12896, HUMAN26097
OG0000000	OFUSG03302.1.p1	HUMAN07513
OG0000000	OFUSG13338.1.p1	HUMAN12902, HUMAN26102
OG0000000	OFUSG13335.1.p1	HUMAN26099, HUMAN06518, HUMAN12899
OG0000000	OFUSG13336.1.p1	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	OFUSG17003.1.p1	HUMAN27325, HUMAN27326
OG0000000	OFUSG21200.1.p1	HUMAN12743, HUMAN26016
OG0000000	OFUSG05672.1.p1	HUMAN22154, HUMAN24253
OG0000000	OFUSG03177.1.p1	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	OFUSG12947.1.p1	HUMAN26107, HUMAN17898
OG0000000	OFUSG05775.1.p1	HUMAN22230
OG0000000	OFUSG06109.1.p1	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	HUMAN18756
OG0000000	OFUSG21806.1.p1	HUMAN08319
OG0000001	OFUSG18749.1.p1	HUMAN01493, HUMAN01492
OG0000001	OFUSG04205.1.p1, OFUSG01600.1.p1, OFUSG03605.1.p1, OFUSG07127.1.p1, OFUSG03269.1.p1	HUMAN10622
OG0000002	OFUSG12055.1.p1	HUMAN22770
OG0000002	OFUSG09076.1.p1	HUMAN01080
OG0000002	OFUSG22946.2.p1	HUMAN20270
OG0000003	OFUSG21073.1.p1	HUMAN02915
OG0000004	OFUSG20734.1.p1	HUMAN05920
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	HUMAN23763, HUMAN23764
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	HUMAN25469
