Orthogroup	OWEFU	BRALA
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	BRALA16375, BRALA16376
OG0000000	OFUSG13305.1.p1	BRALA00047
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	BRALA19584, BRALA19585, BRALA25857
OG0000000	OFUSG18918.1.p1	BRALA17283
OG0000000	OFUSG06560.1.p1	BRALA25847
OG0000000	OFUSG05755.1.p1	BRALA24482
OG0000000	OFUSG06970.1.p1	BRALA16262
OG0000000	OFUSG05968.1.p1	BRALA16263
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	BRALA18359
OG0000000	OFUSG08786.1.p1	BRALA29522
OG0000000	OFUSG09074.1.p1	BRALA24707
OG0000000	OFUSG17443.1.p1	BRALA18600
OG0000000	OFUSG19303.1.p1	BRALA28387
OG0000000	OFUSG12013.1.p1	BRALA21476
OG0000000	OFUSG17426.1.p1	BRALA00440
OG0000000	OFUSG13332.1.p1	BRALA00115
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	BRALA11736
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	BRALA00116
OG0000000	OFUSG03302.1.p1	BRALA11734
OG0000000	OFUSG13338.1.p1	BRALA00120
OG0000000	OFUSG13336.1.p1	BRALA00118
OG0000000	OFUSG17003.1.p1	BRALA00439, BRALA26541
OG0000000	OFUSG21200.1.p1	BRALA00079
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	BRALA34448
OG0000000	OFUSG23416.1.p1	BRALA00127
OG0000000	OFUSG03177.1.p1	BRALA11733
OG0000000	OFUSG12947.1.p1	BRALA00135
OG0000000	OFUSG05775.1.p1	BRALA30674
OG0000000	OFUSG06109.1.p1	BRALA30673
OG0000000	OFUSG21806.1.p1	BRALA17840
OG0000001	OFUSG04431.1.p1	BRALA22546
OG0000001	OFUSG08662.1.p1	BRALA22324, BRALA14825
