Orthogroup	OWEFU	STRPU_ok
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	STRPU_10146, STRPU_10084
OG0000000	OFUSG13305.1.p1	STRPU_22262
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	STRPU_10304
OG0000000	OFUSG06560.1.p1	STRPU_10010
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	STRPU_10083, STRPU_10145
OG0000000	OFUSG06970.1.p1	STRPU_10015
OG0000000	OFUSG05968.1.p1	STRPU_10016
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	STRPU_19865, STRPU_19892
OG0000000	OFUSG08786.1.p1	STRPU_02929
OG0000000	OFUSG09074.1.p1	STRPU_03800
OG0000000	OFUSG17443.1.p1	STRPU_23673, STRPU_23648
OG0000000	OFUSG19303.1.p1	STRPU_09982, STRPU_09961
OG0000000	OFUSG12013.1.p1	STRPU_20780
OG0000000	OFUSG17426.1.p1	STRPU_23557
OG0000000	OFUSG13332.1.p1	STRPU_23206
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	STRPU_05654
OG0000000	OFUSG03302.1.p1	STRPU_05390
OG0000000	OFUSG13338.1.p1	STRPU_23197, STRPU_23198
OG0000000	OFUSG13336.1.p1	STRPU_23194
OG0000000	OFUSG17003.1.p1	STRPU_23756
OG0000000	OFUSG21200.1.p1	STRPU_22253
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	STRPU_09852
OG0000000	OFUSG03177.1.p1	STRPU_05830
OG0000000	OFUSG12947.1.p1	STRPU_23207
OG0000000	OFUSG05775.1.p1	STRPU_10189
OG0000000	OFUSG06109.1.p1	STRPU_09890
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	STRPU_21017
OG0000000	OFUSG21806.1.p1	STRPU_21014
OG0000001	OFUSG26260.1.p1, OFUSG08771.1.p1	STRPU_14334
OG0000001	OFUSG08662.1.p1	STRPU_05173, STRPU_05094
OG0000001	OFUSG10216.1.p1, OFUSG15117.1.p1	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221
OG0000001	OFUSG21348.1.p1	STRPU_00074
OG0000001	OFUSG17423.1.p1	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000002	OFUSG00560.1.p1	STRPU_21867
OG0000002	OFUSG12055.1.p1	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991
OG0000003	OFUSG18790.1.p1	STRPU_08514
OG0000003	OFUSG26305.1.p1, OFUSG17555.1.p1	STRPU_00063
OG0000003	OFUSG16264.1.p1	STRPU_07634
OG0000003	OFUSG16265.1.p1, OFUSG21683.1.p1	STRPU_17011
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	STRPU_08627
OG0000003	OFUSG12884.1.p1	STRPU_02120, STRPU_20651
OG0000003	OFUSG26297.1.p1	STRPU_17996
OG0000003	OFUSG01752.1.p1	STRPU_09153, STRPU_02119, STRPU_09154
OG0000003	OFUSG13877.1.p1, OFUSG13877.2.p1	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412, STRPU_12000
OG0000003	OFUSG02265.1.p1	STRPU_09130
OG0000003	OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1	STRPU_06867, STRPU_06866
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	STRPU_26215, STRPU_26214
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1	STRPU_26723
OG0000005	OFUSG26276.1.p1	STRPU_06288, STRPU_06333
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	STRPU_02665, STRPU_01699
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	STRPU_04777
OG0000006	OFUSG02905.1.p1	STRPU_05111, STRPU_05037
OG0000006	OFUSG14509.1.p1	STRPU_06684
OG0000006	OFUSG25514.1.p1	STRPU_19989
OG0000006	OFUSG14428.1.p1	STRPU_06500
OG0000006	OFUSG07929.1.p1	STRPU_12594, STRPU_12593
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	STRPU_20521
OG0000006	OFUSG10782.1.p1	STRPU_09165, STRPU_02127
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	STRPU_27184, STRPU_27203
OG0000006	OFUSG08660.1.p1	STRPU_27125
OG0000006	OFUSG21061.1.p1	STRPU_07314
OG0000006	OFUSG08659.1.p1	STRPU_27126
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	OFUSG11740.1.p1	STRPU_21069
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	STRPU_21071
OG0000006	OFUSG11470.1.p1	STRPU_14340
OG0000006	OFUSG05485.1.p1	STRPU_22384
OG0000007	OFUSG09476.1.p1	STRPU_26581
OG0000007	OFUSG21527.1.p1	STRPU_21427
OG0000007	OFUSG09642.1.p1, OFUSG09693.1.p1	STRPU_26977
OG0000007	OFUSG13716.1.p1	STRPU_18763
OG0000007	OFUSG23682.1.p1	STRPU_10770
OG0000007	OFUSG05364.1.p1	STRPU_25460
OG0000007	OFUSG23111.1.p1	STRPU_25304
OG0000007	OFUSG04768.1.p1	STRPU_25458
OG0000007	OFUSG08948.1.p1	STRPU_08156, STRPU_08157
OG0000007	OFUSG25429.1.p1	STRPU_16477
OG0000007	OFUSG21828.2.p1, OFUSG21828.1.p1	STRPU_21790
OG0000007	OFUSG10613.1.p1	STRPU_08417
OG0000007	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1	STRPU_10590
OG0000007	OFUSG25241.1.p1	STRPU_21559
OG0000008	OFUSG15555.1.p1	STRPU_10214
OG0000008	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1	STRPU_15692
OG0000008	OFUSG10082.1.p1	STRPU_08296
OG0000008	OFUSG20435.1.p1	STRPU_19365
OG0000008	OFUSG22412.1.p1, OFUSG08236.1.p1, OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1	STRPU_23377, STRPU_23376
OG0000010	OFUSG05937.1.p1	STRPU_11420
OG0000012	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1	STRPU_06380, STRPU_06825
OG0000012	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1	STRPU_23513
OG0000014	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1	STRPU_08197, STRPU_03932, STRPU_16744, STRPU_01717, STRPU_04369, STRPU_21238, STRPU_20412, STRPU_20806, STRPU_06096
OG0000014	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1	STRPU_12767, STRPU_02355
OG0000014	OFUSG00805.1.p1	STRPU_17754, STRPU_17755
OG0000015	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1	STRPU_05602, STRPU_05543
OG0000015	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1	STRPU_05547, STRPU_05606
OG0000015	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1	STRPU_21905
OG0000016	OFUSG16773.1.p1	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	OFUSG10402.1.p1	STRPU_09277
OG0000016	OFUSG13895.1.p1	STRPU_06664, STRPU_06873, STRPU_06665
OG0000016	OFUSG11848.1.p1	STRPU_15361, STRPU_21110
OG0000016	OFUSG14920.1.p1, OFUSG23914.1.p1	STRPU_22999, STRPU_00875, STRPU_22993, STRPU_22992, STRPU_22997, STRPU_22995, STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000019	OFUSG08823.1.p1	STRPU_27424, STRPU_27423, STRPU_27421, STRPU_27422, STRPU_27112, STRPU_27113
OG0000019	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1	STRPU_18936, STRPU_21531, STRPU_04750, STRPU_27420, STRPU_26993, STRPU_26980, STRPU_26645, STRPU_26644, STRPU_26646, STRPU_26648, STRPU_26649, STRPU_26725, STRPU_26724
OG0000019	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1	STRPU_23414, STRPU_01023
OG0000020	OFUSG19131.1.p1	STRPU_13949
OG0000020	OFUSG13406.1.p1	STRPU_06549, STRPU_25741, STRPU_22929, STRPU_07115, STRPU_26678
OG0000020	OFUSG14744.1.p1	STRPU_22232
OG0000021	OFUSG18643.1.p1	STRPU_23367
OG0000021	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1	STRPU_25829
OG0000021	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1	STRPU_02205, STRPU_15603
OG0000021	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1	STRPU_05427
OG0000021	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1	STRPU_19513, STRPU_20206, STRPU_16862, STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213
OG0000021	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	OFUSG06069.1.p1	STRPU_09714, STRPU_09758
OG0000023	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1	STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990, STRPU_15044, STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563
OG0000026	OFUSG02601.1.p1	STRPU_15199, STRPU_15256, STRPU_07319, STRPU_15257, STRPU_18096, STRPU_18095
