Orthogroup	OWEFU	ASTMX
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	ASTMX02793
OG0000000	OFUSG13305.1.p1	ASTMX17483, ASTMX11444
OG0000000	OFUSG05593.1.p1, OFUSG05592.1.p1	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	OFUSG18918.1.p1	ASTMX19308, ASTMX03273
OG0000000	OFUSG05755.1.p1	ASTMX13970
OG0000000	OFUSG06970.1.p1	ASTMX05790, ASTMX17479
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	OFUSG08786.1.p1	ASTMX14561, ASTMX07042
OG0000000	OFUSG09074.1.p1	ASTMX10847
OG0000000	OFUSG19303.1.p1	ASTMX20299
OG0000000	OFUSG12013.1.p1	ASTMX10234
OG0000000	OFUSG13332.1.p1	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	OFUSG03265.2.p2, OFUSG03265.1.p1	ASTMX16946, ASTMX11106
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	OFUSG03302.1.p1	ASTMX06178
OG0000000	OFUSG13338.1.p1	ASTMX16049
OG0000000	OFUSG13335.1.p1	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162
OG0000000	OFUSG13336.1.p1	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	OFUSG17003.1.p1	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	OFUSG21200.1.p1	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	OFUSG05672.1.p1	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	OFUSG03177.1.p1	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	OFUSG12947.1.p1	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	OFUSG05775.1.p1	ASTMX11612, ASTMX02802
OG0000000	OFUSG06109.1.p1	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1	ASTMX09511
OG0000000	OFUSG21806.1.p1	ASTMX08520
OG0000001	OFUSG03269.1.p1	ASTMX18932
OG0000002	OFUSG12055.1.p1	ASTMX13878
OG0000002	OFUSG09076.1.p1	ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931
OG0000002	OFUSG22946.2.p1	ASTMX20125
OG0000003	OFUSG16264.1.p1	ASTMX16763
OG0000003	OFUSG01752.1.p1	ASTMX08462
OG0000004	OFUSG14165.1.p1	ASTMX19416
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	ASTMX13606
OG0000005	OFUSG24728.1.p1, OFUSG03693.1.p1	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1	ASTMX10242
OG0000005	OFUSG20119.1.p1, OFUSG08484.1.p1	ASTMX03244
OG0000006	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	OFUSG02905.1.p1	ASTMX16363, ASTMX04345
OG0000006	OFUSG14509.1.p1	ASTMX11700, ASTMX00138
OG0000006	OFUSG25514.1.p1	ASTMX03791, ASTMX03123
OG0000006	OFUSG14428.1.p1	ASTMX12191, ASTMX07931
OG0000006	OFUSG07929.1.p1	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1	ASTMX03256, ASTMX09680
OG0000006	OFUSG10782.1.p1	ASTMX14682, ASTMX19702
OG0000006	OFUSG09474.1.p1, OFUSG09474.2.p1	ASTMX21126, ASTMX03352
OG0000006	OFUSG21061.1.p1, OFUSG18090.1.p1	ASTMX06644
OG0000006	OFUSG08659.1.p1	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	OFUSG18494.1.p1, OFUSG18494.2.p1	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	OFUSG11740.1.p1	ASTMX14827
OG0000006	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	OFUSG11470.1.p1	ASTMX10604
OG0000007	OFUSG09476.1.p1	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	OFUSG21527.1.p1	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	OFUSG13716.1.p1	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	OFUSG23682.1.p1	ASTMX21073, ASTMX16179
OG0000007	OFUSG04867.2.p1, OFUSG04867.1.p1	ASTMX20070
OG0000007	OFUSG23111.1.p1	ASTMX22376, ASTMX11119
OG0000007	OFUSG04768.1.p1	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	OFUSG25429.1.p1	ASTMX18062, ASTMX21262
