Orthogroup	APOSJ_ok	Other
OG0000008	APOSJ_50496	DROME19967, DROME19966, DROME19965
OG0000016	APOSJ_11248	BRALA33982
OG0000020	APOSJ_16758	ASTMX22736
OG0000021	APOSJ_00001	MOUSE44446
OG0000021	APOSJ_00001	AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163
OG0000025	APOSJ_36900, APOSJ_46981, APOSJ_46982	AMPFI_02870
OG0000026	APOSJ_14352, APOSJ_14353	AENJA_10622
OG0000026	APOSJ_14352, APOSJ_14353	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000026	APOSJ_61877, APOSJ_61922	AENJA_10622
OG0000026	APOSJ_61877, APOSJ_61922	AENJA_10622
OG0000026	APOSJ_61877, APOSJ_61922	OFUSG26427.1.p1
OG0000026	APOSJ_61877, APOSJ_61922	bflo_26853, bflo_07376
OG0000026	APOSJ_61877, APOSJ_61922	BRALA18399, BRALA07898, BRALA07900, BRALA07899
OG0000026	APOSJ_61877, APOSJ_61922	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000026	APOSJ_61877, APOSJ_61922	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000026	APOSJ_00259, APOSJ_43475	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000030	APOSJ_64332	TCONS_00008414.p1
OG0000030	APOSJ_64332	OFUSG17612.1.p1
OG0000031	APOSJ_52458, APOSJ_52455	ASTMX22504
OG0000031	APOSJ_52458, APOSJ_52455	NEMVE00311, NEMVE00632
OG0000031	APOSJ_52458, APOSJ_52455	BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306
OG0000031	APOSJ_52458, APOSJ_52455	bflo_04592, bflo_05889, bflo_05515, bflo_02310
OG0000031	APOSJ_52458, APOSJ_52455	TCONS_00047108.p1
OG0000031	APOSJ_52458, APOSJ_52455	AMPFI_01755, AMPFI_10718, AMPFI_14435
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	SACKO_08906
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	NEMVE07311, NEMVE07285
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	HUMAN11672, HUMAN11673
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	XENTR04943
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	DANRE35041
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	ASTMX03519
OG0000034	APOSJ_42839, APOSJ_42842, APOSJ_42843	AMPFI_04753
OG0000038	APOSJ_58733	LYTVA_14520
OG0000047	APOSJ_07377	BRALA14436
OG0000048	APOSJ_10763, APOSJ_10766	OFUSG11585.1.p1, OFUSG11583.1.p1
OG0000067	APOSJ_22342	SACKO_29221
OG0000068	APOSJ_18613	LYTVA_12287
OG0000089	APOSJ_11659, APOSJ_42252	TCONS_00000886.p1
OG0000089	APOSJ_11659, APOSJ_42252	BRALA34579
OG0000089	APOSJ_11659, APOSJ_42252	SACKO_27360
OG0000089	APOSJ_11659, APOSJ_42252	LYTVA_15322
OG0000089	APOSJ_11659, APOSJ_42252	AENJA_09728
OG0000089	APOSJ_11659, APOSJ_42252	AMPFI_24059
OG0000089	APOSJ_11659, APOSJ_42252	AMPFI_24059
OG0000094	APOSJ_63079	DANRE40961
OG0000094	APOSJ_63079	XENTR18065
OG0000094	APOSJ_63079	MOUSE53507, MOUSE53505, MOUSE11261
OG0000094	APOSJ_63079	AMPFI_02587
OG0000094	APOSJ_63079	HUMAN14813
OG0000094	APOSJ_63079	BRALA34518
OG0000094	APOSJ_63079	SCHMD23746
OG0000094	APOSJ_63079	ASTMX03425
OG0000094	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128	ASTMX08392
OG0000094	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128	MOUSE25209
