Orthogroup	SACKO_ok	Other
OG0000005	SACKO_14812	SCHMD09862, SCHMD04325
OG0000016	SACKO_06368, SACKO_16222	BRALA33982
OG0000026	SACKO_23233	AENJA_10622
OG0000026	SACKO_23233	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000026	SACKO_24091	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000034	SACKO_08906	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000038	SACKO_00016	LYTVA_14520
OG0000041	SACKO_06515	DANRE27216
OG0000048	SACKO_12018	OFUSG11585.1.p1, OFUSG11583.1.p1
OG0000055	SACKO_10925	CAEEL14858
OG0000055	SACKO_10925	CAPO301479, CAPO301432
OG0000055	SACKO_10925	DANRE26046, DANRE37399
OG0000055	SACKO_10925	LYTVA_09126, LYTVA_26970, LYTVA_18344
OG0000055	SACKO_10925	BRALA31408
OG0000055	SACKO_10925	SCHMD17892, SCHMD29195
OG0000055	SACKO_10925	NEMVE00590
OG0000067	SACKO_29221	APOSJ_22342
OG0000067	SACKO_29221	BRALA35634
OG0000067	SACKO_29221	APOSC_22825
OG0000067	SACKO_29221	AMPFI_18458, AMPFI_18044
OG0000089	SACKO_27360	APOSJ_11659, APOSJ_42252
OG0000089	SACKO_27360	AMPFI_24059
OG0000124	SACKO_33754, SACKO_22345	DANRE08738
OG0000124	SACKO_33754, SACKO_22345	MOUSE45403
OG0000124	SACKO_19309	APOSC_24532
OG0000157	SACKO_13943	HUMAN14308
OG0000192	SACKO_22597	DANRE39461
OG0000192	SACKO_19499	HELIO_03073
OG0000205	SACKO_12864	ORYLA08886
OG0000208	SACKO_06806, SACKO_06801, SACKO_06805, SACKO_06827, SACKO_12788	HUMAN11859
OG0000208	SACKO_07539, SACKO_21983, SACKO_21989, SACKO_07554, SACKO_07549, SACKO_31156, SACKO_07529	HUMAN11860
OG0000208	SACKO_05740	bflo_20476
