Orthogroup	HELIO_ok	Other
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564	BRALA33982
OG0000020	HELIO_05888	ASTMX22736
OG0000021	HELIO_09286	MOUSE44446
OG0000021	HELIO_09286	AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163
OG0000025	HELIO_01616	AMPFI_02870
OG0000026	HELIO_09541	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000052	HELIO_05693	AMPFI_17342, AMPFI_21992, AMPFI_16769
OG0000094	HELIO_03878	ASTMX08392
OG0000094	HELIO_03878	MOUSE25209
OG0000094	HELIO_03878	HUMAN14814, HUMAN29867, HUMAN14812
OG0000098	HELIO_07543	XENTR18632
OG0000101	HELIO_11521	BRALA34771
OG0000101	HELIO_11521	TCONS_00000321.p1
OG0000124	HELIO_02264	DANRE08738
OG0000124	HELIO_02264	MOUSE45403
OG0000128	HELIO_00789	ASTMX18325
OG0000128	HELIO_00789	HUMAN21996
OG0000138	HELIO_06895	BRALA29104
OG0000157	HELIO_02764	HUMAN14308
OG0000185	HELIO_12016	APOSJ_00507
OG0000192	HELIO_04385	DANRE39461
OG0000192	HELIO_03073	TCONS_00016580.p1
OG0000192	HELIO_03073	NEMVE13792
OG0000192	HELIO_03073	bflo_15818
OG0000192	HELIO_03073	BRALA02780
OG0000192	HELIO_03073	OFUSG25720.1.p1
OG0000192	HELIO_03073	HUMAN29457
OG0000192	HELIO_03073	MOUSE25324
OG0000192	HELIO_03073	ASTMX22789, ASTMX13707
OG0000192	HELIO_03073	ORYLA18141
OG0000192	HELIO_03073	DANRE33927, DANRE33926
OG0000192	HELIO_03073	XENTR16408
OG0000192	HELIO_03073	SACKO_19499
OG0000205	HELIO_00236	ORYLA08886
OG0000208	HELIO_08975	HUMAN11860
OG0000227	HELIO_06498, HELIO_04590	bflo_10496
OG0000227	HELIO_06498	OFUSG15888.1.p1
OG0000240	HELIO_07617	TCONS_00005653.p1
OG0000309	HELIO_05101	HUMAN02856
OG0000320	HELIO_00242	BRALA04996
OG0000326	HELIO_08613	BRALA08568
OG0000329	HELIO_07087	HUMAN06603
OG0000374	HELIO_12548	DANRE35506
OG0000374	HELIO_07571	OFUSG15949.1.p1
OG0000397	HELIO_10979	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000399	HELIO_04949	DANRE09642
OG0000399	HELIO_04949	MOUSE30468
OG0000405	HELIO_10657	MOUSE10160
OG0000436	HELIO_08988, HELIO_08989	MOUSE23254
OG0000446	HELIO_01194	ASTMX14082
OG0000450	HELIO_01846	MOUSE46534
OG0000453	HELIO_11149	BRALA02456
OG0000454	HELIO_01041	ORYLA14943
OG0000474	HELIO_10673	APOSC_06438, APOSC_01743
OG0000480	HELIO_08413	ASTMX07171
OG0000501	HELIO_01592, HELIO_04898, HELIO_07352	SACKO_31636
OG0000521	HELIO_07126	ASTMX16377
OG0000524	HELIO_03929	MOUSE11129, MOUSE11143
OG0000527	HELIO_07197	MOUSE25384
OG0000591	HELIO_00717	ASTMX06564
OG0000591	HELIO_00717	HUMAN17607
OG0000611	HELIO_06952	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000626	HELIO_03382	OFUSG21226.2.p1, OFUSG21226.4.p1, OFUSG21226.1.p1, OFUSG21226.3.p1, OFUSG21226.5.p1
OG0000626	HELIO_03382	SCHMD22993, SCHMD02730, SCHMD02477
OG0000626	HELIO_03382	MOUSE29300
OG0000628	HELIO_07284	ORYLA19646
OG0000662	HELIO_03239	SACKO_06148
OG0000662	HELIO_03239	ORYLA20494
