Orthogroup	DROME	Other
OG0000008	DROME19967, DROME19966, DROME19965	bflo_12140
OG0000008	DROME19967, DROME19966, DROME19965	BRALA20539
OG0000008	DROME19967, DROME19966, DROME19965	APOSJ_50496
OG0000008	DROME19967, DROME19966, DROME19965	APOSC_25161
OG0000008	DROME19967, DROME19966, DROME19965	NEMVE07817, NEMVE12766
OG0000008	DROME19967, DROME19966, DROME19965	AENJA_00959
OG0000008	DROME19967, DROME19966, DROME19965	ASTMX13129
OG0000008	DROME19967, DROME19966, DROME19965	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	DROME19967, DROME19966, DROME19965	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	DROME19967, DROME19966, DROME19965	XENTR00105
OG0000089	DROME18066, DROME18069, DROME12817	AMPFI_03609
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	AMPFI_04266, AMPFI_05019
OG0000124	DROME08713, DROME09900	APOSC_24532
OG0000157	DROME05618, DROME05617, DROME05616	HUMAN14308
OG0000162	DROME21138, DROME21116	XENTR12697, XENTR12696
OG0000162	DROME21138, DROME21116	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307
OG0000208	DROME02132	SACKO_05740
OG0000208	DROME02132	HUMAN11860
OG0000240	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862	TCONS_00005653.p1
OG0000374	DROME04429, DROME04427, DROME04428	OFUSG15949.1.p1
OG0000397	DROME14885	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000411	DROME16025, DROME16024, DROME16016, DROME16020, DROME16017, DROME16021, DROME16026, DROME16027, DROME16018, DROME16023, DROME16014, DROME16022, DROME16015, DROME16019, DROME16028	APOSJ_58040, APOSJ_61992
OG0000419	DROME15435	MOUSE23531
OG0000470	DROME21239	TCONS_00010825.p1
OG0000490	DROME19662, DROME19663, DROME19666, DROME19664, DROME19665	DANRE35144
OG0000525	DROME20723, DROME20724, DROME20720, DROME20721	STRPU_08645
OG0000560	DROME17254	DANRE40243, DANRE40242
OG0000591	DROME20132, DROME20133, DROME20134	ASTMX06564
OG0000591	DROME20132, DROME20133, DROME20134	HUMAN17607
OG0000597	DROME04131, DROME04129, DROME04130	APOSC_18654
OG0000608	DROME19052, DROME19054	MOUSE14207, MOUSE14208
OG0000635	DROME10346, DROME10345, DROME09950, DROME20244, DROME20945, DROME11733, DROME11732, DROME11731, DROME04651, DROME04649, DROME04652	STRPU_24923, STRPU_24924
OG0000635	DROME04651, DROME04649, DROME04652	AENJA_03389
OG0000777	DROME05836	STRPU_26898, STRPU_26897
OG0000787	DROME06230	HUMAN24286
OG0000787	DROME06230	ASTMX22236
OG0000809	DROME15572, DROME15573	SACKO_11703
OG0000809	DROME15572, DROME15573	MOUSE48490, MOUSE10214
OG0000810	DROME08670	LYTVA_14958
OG0000819	DROME19692	BRALA07696
OG0000835	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058	HUMAN19696
OG0000842	DROME10888, DROME10889	MOUSE39642
OG0000842	DROME10888, DROME10889	HUMAN28734
OG0000851	DROME20685, DROME20686	APOSJ_05432, APOSJ_09645, APOSJ_05433
OG0000851	DROME20685, DROME20686	ASTMX09788
OG0000945	DROME10522	AENJA_01600
OG0000965	DROME10303	bflo_07554
OG0001109	DROME00590, DROME00591, DROME00592, DROME00589, DROME19273, DROME19275, DROME19274	HUMAN13297
OG0001158	DROME08138, DROME08137	DANRE24676, DANRE36873
OG0001158	DROME08138, DROME08137	MOUSE28962
OG0001158	DROME08138, DROME08137	ORYLA13611
OG0001170	DROME16781	TCONS_00002128.p1
OG0001170	DROME16781	bflo_04525
OG0001264	DROME08249, DROME08250, DROME08248	LYTVA_04650
OG0001286	DROME11490, DROME11489, DROME11491	APOSJ_64115
OG0001294	DROME19278	ORYLA11435
OG0001294	DROME19278	DANRE05494
OG0001300	DROME21326, DROME21325, DROME21324	bflo_05339
OG0001350	DROME03240, DROME03239	MOUSE33385
OG0001350	DROME20607	APOSC_01928
OG0001383	DROME08849, DROME08848, DROME08850, DROME08851	MOUSE27507
OG0001500	DROME13574, DROME13575, DROME13573, DROME13571, DROME13572, DROME13570	AMPFI_22915
OG0001502	DROME08522, DROME08516, DROME08521, DROME08519, DROME08518, DROME08517, DROME08520	ASTMX07826
OG0001519	DROME20785, DROME20788, DROME20786, DROME20787	ORYLA18213
OG0001596	DROME03082, DROME03081, DROME03080	MOUSE09371
OG0001620	DROME01154, DROME01153, DROME01150, DROME01151	HUMAN02053
OG0001623	DROME05390, DROME05391, DROME05392, DROME05025, DROME06770, DROME11013, DROME11014, DROME00601, DROME13253, DROME13252, DROME13251	AMPFI_14540
OG0001630	DROME10692	APOSC_00297
OG0001673	DROME15611, DROME15610	XENTR14539
OG0001673	DROME15611, DROME15610	ASTMX10983
OG0001731	DROME16558	MOUSE01917
OG0001731	DROME16558	ASTMX21815
OG0001778	DROME03281	TCONS_00019832.p1
OG0001778	DROME03281	MOUSE12293
OG0001789	DROME15206, DROME15202, DROME15200, DROME15204	ASTMX22705
OG0001875	DROME16885	MOUSE31669
OG0001875	DROME16885	DANRE04850
OG0001943	DROME05587, DROME05589, DROME05586, DROME05588	XENTR02451
OG0001943	DROME05587, DROME05589, DROME05586, DROME05588	HUMAN18949
OG0001992	DROME21257	SCHMD23667
OG0001992	DROME21257	BRALA32975, BRALA35588
OG0002061	DROME17109, DROME17110	MOUSE48024, MOUSE48025
OG0002065	DROME13540	APOSJ_05621, APOSJ_30601
OG0002169	DROME16101	BRALA33277
OG0002320	DROME00593, DROME00595, DROME00594, DROME01888, DROME00596, DROME00468, DROME00469, DROME10767, DROME00038, DROME00304, DROME00765, DROME00764, DROME00042, DROME00043	MOUSE50960
OG0002358	DROME10795	HUMAN02384
OG0002407	DROME16665, DROME16666, DROME16663, DROME16664	MOUSE11499
OG0002407	DROME16665, DROME16666, DROME16663, DROME16664	XENTR18256
OG0002413	DROME03087	ORYLA07321
OG0002451	DROME11090, DROME11091	LYTVA_04164, LYTVA_13285
OG0002511	DROME06803	ASTMX22741
OG0002590	DROME12629, DROME12628, DROME12630	LYTVA_05045
OG0002664	DROME15045, DROME15046	MOUSE33028, MOUSE33029, MOUSE33030
OG0002708	DROME16440	OFUSG00085.1.p1
OG0002708	DROME16440	NEMVE05514
OG0002708	DROME16440	bflo_18080
OG0002708	DROME16440	BRALA30426
OG0002708	DROME16440	DANRE17887, DANRE17886, DANRE17884, DANRE17882, DANRE17883, DANRE17880, DANRE17881
OG0002708	DROME16440	ORYLA11930
OG0002708	DROME16440	ASTMX09919
OG0002708	DROME16440	XENTR05903
OG0002708	DROME16440	HUMAN25380
OG0002708	DROME16440	MOUSE32181, MOUSE32180, MOUSE32179, MOUSE32178
OG0002708	DROME16440	STRPU_17906
OG0002708	DROME16440	LYTVA_06941
OG0002708	DROME16440	HELIO_08992
OG0002708	DROME16440	AMPFI_13987
OG0002708	DROME16440	AENJA_01064
OG0002708	DROME16440	TCONS_00001336.p1
OG0002708	DROME16440	SACKO_20775
OG0002708	DROME16440	APOSC_09889
OG0002708	DROME16440	APOSJ_48928, APOSJ_48929, APOSJ_22085, APOSJ_48927, APOSJ_08627, APOSJ_58925, APOSJ_58958, APOSJ_22084, APOSJ_22086
OG0002749	DROME05439	AENJA_13469
OG0002780	DROME00776, DROME00775	ASTMX12328
OG0002811	DROME18305	AMPFI_04646, AMPFI_07322
OG0002892	DROME18981	DANRE19161
OG0002967	DROME18521, DROME18520	AMPFI_24955, AMPFI_10453, AMPFI_03488
OG0003011	DROME17655, DROME17656	HUMAN10459
OG0003011	DROME17655, DROME17656	AMPFI_10396, AMPFI_10397
OG0003011	DROME17655, DROME17656	ORYLA00615
OG0003024	DROME14540, DROME13066	MOUSE24540
OG0003044	DROME07467	AMPFI_18286
OG0003109	DROME00284	APOSJ_51968
OG0003118	DROME11873, DROME11872	APOSC_13717
OG0003282	DROME17686	APOSJ_26406
OG0003302	DROME01480	HUMAN24408
OG0003317	DROME19362	MOUSE06370
OG0003388	DROME11674, DROME19363	AMPFI_20188
OG0003388	DROME11674, DROME19363	APOSC_17998
OG0003429	DROME10812	APOSC_17184
OG0003429	DROME10812	MOUSE17279
OG0003429	DROME10812	DANRE40349
OG0003431	DROME13747	AENJA_19425
OG0003469	DROME04366, DROME04367, DROME04365	ORYLA15258
OG0003505	DROME04896, DROME04894, DROME04898, DROME04897, DROME04895	LYTVA_23504
OG0003505	DROME04896, DROME04894, DROME04898, DROME04897, DROME04895	TCONS_00008628.p1
OG0003626	DROME07546	MOUSE50482
OG0003634	DROME03378	HUMAN00128
OG0003697	DROME03932, DROME03930, DROME03929, DROME03931	STRPU_00014
OG0003697	DROME03932, DROME03930, DROME03929, DROME03931	HELIO_12072
OG0003769	DROME11691, DROME11690, DROME11693, DROME11692	ASTMX09113
OG0003826	DROME12869, DROME12870, DROME12868	BRALA34514
OG0003831	DROME02158	APOSC_04801, APOSC_16984
OG0003910	DROME10387	HUMAN00726
OG0003923	DROME02152, DROME02153, DROME02151, DROME02154, DROME00715, DROME00714	AMPFI_23190
OG0003944	DROME18760	APOSC_03774, APOSC_25388, APOSC_28777
OG0004020	DROME17726, DROME17727	XENTR18787
OG0004020	DROME17726, DROME17727	MOUSE22764
OG0004027	DROME13967	APOSJ_49299
OG0004040	DROME07203	LYTVA_01753
OG0004108	DROME07361	MOUSE41099, MOUSE41100
OG0004143	DROME13621	AMPFI_12398
OG0004223	DROME01123, DROME06776	LYTVA_15378
OG0004229	DROME02866, DROME02865	LYTVA_26921
OG0004269	DROME16782	LYTVA_07560
OG0004269	DROME16782	STRPU_09465
OG0004269	DROME16782	HUMAN03614
OG0004284	DROME19835, DROME19836	OFUSG19168.1.p1
OG0004332	DROME03199	MOUSE51034, MOUSE51033
OG0004358	DROME01539	AMPFI_19007
OG0004358	DROME01539	AENJA_18673
