Orthogroup	STRPU_ok	Other
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	SCHMD09862, SCHMD04325
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	BRALA33982
OG0000020	STRPU_04309, STRPU_04336	ASTMX22736
OG0000021	STRPU_19932, STRPU_02595	MOUSE44446
OG0000026	STRPU_10195	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000030	STRPU_06146, STRPU_06148	OFUSG12869.1.p1
OG0000030	STRPU_06146, STRPU_06148	ASTMX22293
OG0000030	STRPU_06146, STRPU_06148	DANRE41079, DANRE41078
OG0000030	STRPU_06146, STRPU_06148	BRALA10449
OG0000030	STRPU_06146, STRPU_06148	bflo_23730
OG0000030	STRPU_06146, STRPU_06148	ORYLA20234
OG0000047	STRPU_00263, STRPU_17034	BRALA14436
OG0000089	STRPU_25351	AMPFI_03609
OG0000094	STRPU_19407	ASTMX08392
OG0000094	STRPU_19407	MOUSE25209
OG0000094	STRPU_19407	HUMAN14814, HUMAN29867, HUMAN14812
OG0000098	STRPU_22565, STRPU_22567, STRPU_16696	XENTR18632
OG0000101	STRPU_17399, STRPU_17409	BRALA34771
OG0000101	STRPU_17399, STRPU_17409	TCONS_00000321.p1
OG0000124	STRPU_06709	DANRE08738
OG0000124	STRPU_06709	MOUSE45403
OG0000128	STRPU_05989	ASTMX18325
OG0000128	STRPU_05989	HUMAN21996
OG0000157	STRPU_22147	HUMAN14308
OG0000185	STRPU_01114, STRPU_24185	APOSJ_00507
OG0000192	STRPU_18443, STRPU_18409	DANRE39461
OG0000208	STRPU_21776, STRPU_21777, STRPU_21778	HUMAN11859
OG0000208	STRPU_14840	HUMAN11860
OG0000227	STRPU_25172, STRPU_25142	bflo_10496
OG0000227	STRPU_25172	OFUSG15888.1.p1
OG0000240	STRPU_02509, STRPU_02512, STRPU_15130, STRPU_15129, STRPU_02510, STRPU_15131, STRPU_02513	TCONS_00005653.p1
OG0000306	STRPU_00072, STRPU_04180	bflo_26863, bflo_07664
OG0000306	STRPU_00072	DANRE01566, DANRE33720, DANRE33719
OG0000306	STRPU_00072	ASTMX13715
OG0000306	STRPU_00072	ORYLA17215
OG0000306	STRPU_00072	ORYLA02312
OG0000306	STRPU_00072	ORYLA02312
OG0000306	STRPU_00072	AMPFI_01092
OG0000306	STRPU_00072	TCONS_00030411.p1, TCONS_00031228.p1, TCONS_00031225.p1
OG0000306	STRPU_00072	CAEEL11447, CAEEL11444, CAEEL11445
OG0000306	STRPU_00072	SCHMD02490
OG0000306	STRPU_00072	APOSC_12441
OG0000306	STRPU_00072	APOSC_12441
OG0000306	STRPU_00072	BRALA03883
OG0000306	STRPU_00072	DANRE01564, DANRE39185
OG0000306	STRPU_00072	MOUSE19585, MOUSE19586, MOUSE31468, MOUSE31467
OG0000306	STRPU_00072	DANRE01564, DANRE39185
OG0000306	STRPU_04180	NEMVE12646
OG0000306	STRPU_04180	CAEEL11448
OG0000306	STRPU_04180	HUMAN26268
OG0000306	STRPU_04180	MOUSE31462, MOUSE31461
OG0000306	STRPU_04180	AMPFI_20442
OG0000306	STRPU_04180	SACKO_05913
OG0000306	STRPU_04180	AENJA_01416
OG0000306	STRPU_04180	SCHMD17729
OG0000309	STRPU_22639, STRPU_23489, STRPU_22638, STRPU_18593	HUMAN02856
OG0000309	STRPU_22638, STRPU_18593	MOUSE24979
OG0000320	STRPU_07019	BRALA04996
OG0000320	STRPU_10053	BRALA12781, BRALA17040
OG0000326	STRPU_10867, STRPU_10847	BRALA08568
OG0000374	STRPU_24137	DANRE35506
OG0000374	STRPU_01884, STRPU_25198	OFUSG15949.1.p1
OG0000397	STRPU_10143, STRPU_10081	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000399	STRPU_07796	DANRE09642
OG0000399	STRPU_07796	MOUSE30468
OG0000403	STRPU_17241, STRPU_17239	XENTR17855
OG0000405	STRPU_27356	MOUSE10160
OG0000423	STRPU_12673	BRALA05057
OG0000423	STRPU_12673	bflo_26874
OG0000423	STRPU_12673	AENJA_21330, AENJA_26620
OG0000423	STRPU_12673	SCHMD29684
OG0000425	STRPU_20952	AMPFI_13246
OG0000425	STRPU_20952	AMPFI_13246
OG0000425	STRPU_20952	XENTR18784
OG0000425	STRPU_20952	HUMAN15883
OG0000425	STRPU_20952	SCHMD24026, SCHMD08029
OG0000425	STRPU_20952	DANRE16734
OG0000425	STRPU_20952	AENJA_24238
OG0000436	STRPU_23785	MOUSE23254
OG0000446	STRPU_24006	ASTMX14082
OG0000450	STRPU_14805	MOUSE46534
OG0000453	STRPU_11780	BRALA02456
OG0000454	STRPU_26357	ORYLA14943
OG0000456	STRPU_27243	BRALA33420, BRALA35405
OG0000465	STRPU_07200	DANRE26401, DANRE26400
OG0000474	STRPU_23394	APOSC_06438, APOSC_01743
OG0000501	STRPU_04968, STRPU_24516, STRPU_24080, STRPU_00604, STRPU_24511, STRPU_24509, STRPU_04537, STRPU_04519, STRPU_00603, STRPU_24513, STRPU_24508, STRPU_24507, STRPU_24505, STRPU_24504, STRPU_24506, STRPU_24510, STRPU_24688, STRPU_24704, STRPU_24687, STRPU_24705	SACKO_31636
OG0000501	STRPU_04968	BRALA21637
OG0000521	STRPU_20675	ASTMX16377
OG0000524	STRPU_04273	MOUSE11129, MOUSE11143
OG0000525	STRPU_08645	OFUSG17865.2.p1, OFUSG17865.1.p1
OG0000525	STRPU_08645	DROME20723, DROME20724, DROME20720, DROME20721
OG0000525	STRPU_08645	CAEEL19113
OG0000525	STRPU_08645	NEMVE09107
OG0000525	STRPU_08645	XENTR10927
OG0000525	STRPU_08645	DANRE37919, DANRE37918
OG0000525	STRPU_08645	ASTMX02688
OG0000525	STRPU_08645	ORYLA07450
OG0000525	STRPU_08645	SCHMD19975, SCHMD13600, SCHMD16839, SCHMD08345, SCHMD19109, SCHMD05319, SCHMD14149
OG0000525	STRPU_08645	MOUSE44263
OG0000525	STRPU_08645	HUMAN12020
OG0000527	STRPU_25067	MOUSE25384
OG0000560	STRPU_10871	DANRE40243, DANRE40242
OG0000591	STRPU_08932	ASTMX06564
OG0000591	STRPU_08932	HUMAN17607
OG0000611	STRPU_26016	OFUSG22889.2.p1, OFUSG22889.1.p1
OG0000628	STRPU_07211	ORYLA19646
OG0000635	STRPU_24923, STRPU_24924	ORYLA03671
OG0000635	STRPU_24923, STRPU_24924	DANRE13256
OG0000635	STRPU_24923, STRPU_24924	bflo_20645, bflo_04428, bflo_25135, bflo_22251
OG0000635	STRPU_24923, STRPU_24924	BRALA22165, BRALA20517, BRALA05536, BRALA17413, BRALA17024
OG0000635	STRPU_24923, STRPU_24924	DROME10346, DROME10345, DROME09950, DROME20244, DROME20945, DROME11733, DROME11732, DROME11731, DROME04651, DROME04649, DROME04652
OG0000635	STRPU_24923, STRPU_24924	SCHMD16010
OG0000635	STRPU_24923, STRPU_24924	OFUSG03398.2.p1, OFUSG03398.1.p1, OFUSG03399.1.p1, OFUSG03393.1.p1, OFUSG03395.1.p1, OFUSG03397.1.p1, OFUSG03390.1.p1, OFUSG03392.1.p1, OFUSG03392.2.p1, OFUSG23741.1.p1, OFUSG23735.1.p1, OFUSG09557.1.p1, OFUSG09558.1.p1, OFUSG04843.1.p1, OFUSG01426.1.p1, OFUSG09659.1.p1
OG0000635	STRPU_24923, STRPU_24924	HUMAN15837
OG0000635	STRPU_24923, STRPU_24924	MOUSE42730
OG0000635	STRPU_24923, STRPU_24924	XENTR02072, XENTR02107
OG0000635	STRPU_24923, STRPU_24924	TCONS_00005140.p1, TCONS_00005141.p1, TCONS_00005139.p1
OG0000635	STRPU_24923, STRPU_24924	SACKO_29739, SACKO_14557
OG0000635	STRPU_24923, STRPU_24924	AENJA_03389
OG0000635	STRPU_24923, STRPU_24924	AENJA_03389
OG0000676	STRPU_06999	ASTMX03141
OG0000707	STRPU_05171, STRPU_26965, STRPU_05172, STRPU_05093	DANRE29542, DANRE29543
OG0000718	STRPU_04006, STRPU_04005	ASTMX22450
OG0000777	STRPU_26898, STRPU_26897	CAEEL19291
OG0000777	STRPU_26898, STRPU_26897	DROME05836
OG0000777	STRPU_26898, STRPU_26897	OFUSG10317.1.p1, OFUSG10318.1.p1
OG0000777	STRPU_26898, STRPU_26897	SCHMD17125
OG0000777	STRPU_26898, STRPU_26897	NEMVE21910, NEMVE15143
OG0000778	STRPU_11330	bflo_24104
OG0000787	STRPU_04197, STRPU_04234	HUMAN24286
OG0000812	STRPU_12749, STRPU_03038	AMPFI_22391
OG0000819	STRPU_13106, STRPU_13090	BRALA07696
OG0000842	STRPU_22935	MOUSE39642
OG0000842	STRPU_22935	HUMAN28734
OG0000875	STRPU_13557	MOUSE22325, MOUSE22324
OG0000894	STRPU_00073, STRPU_05725	SCHMD26280
OG0000957	STRPU_26358	MOUSE13271, MOUSE01612
OG0000957	STRPU_26358	HUMAN29142
OG0000965	STRPU_04296, STRPU_04326, STRPU_04357	bflo_07554
OG0001042	STRPU_23315	ORYLA11092
OG0001076	STRPU_05726	MOUSE36456
OG0001091	STRPU_23757	MOUSE26426
OG0001170	STRPU_17744	TCONS_00002128.p1
OG0001170	STRPU_17744	bflo_04525
OG0001184	STRPU_09552	SACKO_02591
OG0001288	STRPU_26804	TCONS_00029022.p1, TCONS_00036487.p1
OG0001294	STRPU_21633	ORYLA11435
OG0001294	STRPU_21633	DANRE05494
OG0001300	STRPU_00543, STRPU_15986	bflo_05339
OG0001302	STRPU_14524	APOSJ_52700, APOSJ_52698
OG0001312	STRPU_18010, STRPU_24489, STRPU_17750	DANRE33360, DANRE33361
OG0001314	STRPU_17675	OFUSG01280.1.p1
OG0001314	STRPU_17675	bflo_18178
OG0001314	STRPU_17675	AMPFI_14399
OG0001314	STRPU_17675	BRALA33956
OG0001316	STRPU_15726	DANRE06942
OG0001331	STRPU_10147, STRPU_10085, STRPU_10148	BRALA34734
OG0001434	STRPU_17872	XENTR14258
OG0001436	STRPU_24142	MOUSE32581
OG0001452	STRPU_26368	MOUSE30199, MOUSE44846, MOUSE44847
OG0001456	STRPU_27191, STRPU_27192, STRPU_27208	ASTMX18389
OG0001502	STRPU_08256	ASTMX07826
OG0001503	STRPU_08277	MOUSE41773
OG0001505	STRPU_11360	ORYLA10202
OG0001527	STRPU_14392	MOUSE04312
OG0001555	STRPU_06393, STRPU_06683	TCONS_00046603.p1, TCONS_00046601.p1, TCONS_00046602.p1
OG0001582	STRPU_06829, STRPU_06376	BRALA28423
OG0001582	STRPU_06829, STRPU_06376	bflo_20280
OG0001582	STRPU_06829, STRPU_06376	ORYLA02289, ORYLA04090, ORYLA03534, ORYLA17772
OG0001582	STRPU_06829, STRPU_06376	DANRE00147, DANRE00146, DANRE08340, DANRE08339, DANRE00774, DANRE00775, DANRE28929, DANRE28926, DANRE28927, DANRE28928
OG0001582	STRPU_06829, STRPU_06376	ASTMX05961, ASTMX13814, ASTMX08233, ASTMX17082
OG0001582	STRPU_06829, STRPU_06376	MOUSE04519, MOUSE04518, MOUSE04517, MOUSE37288, MOUSE37287
OG0001582	STRPU_06829, STRPU_06376	HUMAN11710, HUMAN19935
OG0001582	STRPU_06829, STRPU_06376	XENTR07708, XENTR17762, XENTR01173
OG0001615	STRPU_12203	MOUSE27062
OG0001620	STRPU_19915	HUMAN02053
OG0001632	STRPU_23809, STRPU_23843	DANRE40470
OG0001632	STRPU_23809, STRPU_23843	ORYLA19517
OG0001633	STRPU_24119, STRPU_24126	DANRE38756
OG0001633	STRPU_24119	HUMAN15429
OG0001635	STRPU_05304	XENTR03970
OG0001647	STRPU_25134	BRALA07000
OG0001647	STRPU_17288	BRALA11344, BRALA06999
OG0001647	STRPU_17288	bflo_02196, bflo_02230
OG0001647	STRPU_17288	NEMVE03510
OG0001660	STRPU_04934	ASTMX08833, ASTMX08831
OG0001673	STRPU_21686, STRPU_21751	XENTR14539
OG0001673	STRPU_21686, STRPU_21751	ASTMX10983
OG0001740	STRPU_12731	BRALA30517
OG0001778	STRPU_25828	TCONS_00019832.p1
OG0001779	STRPU_27324	SACKO_22394
OG0001789	STRPU_15451, STRPU_15452	ASTMX22705
OG0001810	STRPU_01878, STRPU_25193	MOUSE38995, MOUSE38993
OG0001818	STRPU_00061	MOUSE18124
OG0001852	STRPU_23919	HUMAN20900, HUMAN20899
OG0001852	STRPU_23919	DANRE43025
OG0001906	STRPU_11003, STRPU_00343	MOUSE01562
OG0001922	STRPU_04775	BRALA02392, BRALA12207
OG0001943	STRPU_07623	XENTR02451
OG0001943	STRPU_07623	HUMAN18949
OG0001945	STRPU_17291	ORYLA09524
OG0001951	STRPU_22044	SACKO_09715
OG0001988	STRPU_07708	DANRE10195
OG0001988	STRPU_07708	HUMAN28138, HUMAN28140, HUMAN28139
OG0001992	STRPU_21804	SCHMD23667
OG0002006	STRPU_20323	MOUSE05504
OG0002031	STRPU_00644, STRPU_23058	MOUSE35281
OG0002031	STRPU_00644, STRPU_23058	DANRE10346
OG0002060	STRPU_20989	HUMAN08798
OG0002060	STRPU_20989	MOUSE07891
OG0002061	STRPU_09301	MOUSE48024, MOUSE48025
OG0002076	STRPU_23547	MOUSE02518
OG0002094	STRPU_23249, STRPU_23832, STRPU_23869	DANRE22168
OG0002141	STRPU_05738	ASTMX22344
OG0002151	STRPU_08939	ORYLA00735
OG0002169	STRPU_10191	BRALA33277
OG0002184	STRPU_18607	LYTVA_03835
OG0002184	STRPU_18607	ASTMX22891
OG0002184	STRPU_18607	SACKO_07039
OG0002184	STRPU_18607	SCHMD08545
OG0002184	STRPU_18607	MOUSE48916, MOUSE10382
OG0002192	STRPU_02131	HUMAN12371
OG0002223	STRPU_22283	BRALA06051
OG0002236	STRPU_24823, STRPU_24821	MOUSE21596
OG0002240	STRPU_10910	HUMAN21965, HUMAN21964
OG0002244	STRPU_04996	HUMAN30021
OG0002272	STRPU_16446	ASTMX06090
OG0002320	STRPU_02801	MOUSE50960
OG0002402	STRPU_11673	ASTMX22445
OG0002406	STRPU_10508	SACKO_33790
OG0002407	STRPU_04443	MOUSE11499
OG0002433	STRPU_09122, STRPU_02094	HUMAN13300
OG0002443	STRPU_23447, STRPU_00994	DANRE24994
OG0002443	STRPU_23447, STRPU_00994	AMPFI_15890
OG0002497	STRPU_14057, STRPU_00867	MOUSE18375
OG0002553	STRPU_01916, STRPU_22760	ASTMX22208, ASTMX22207
OG0002592	STRPU_01523, STRPU_09437	SACKO_33979
OG0002627	STRPU_22016	MOUSE27737
OG0002640	STRPU_22318, STRPU_22337	APOSJ_57570
OG0002654	STRPU_11035, STRPU_00373	DANRE40237, DANRE40238, DANRE40239, DANRE40236
OG0002705	STRPU_19210	DANRE01893, DANRE01894
OG0002705	STRPU_19210	MOUSE10470
OG0002708	STRPU_17906	DROME16440
OG0002718	STRPU_11192	MOUSE34798
OG0002763	STRPU_02576, STRPU_13132	HUMAN12876
OG0002780	STRPU_08346	ASTMX12328
OG0002873	STRPU_08690	SACKO_09763
OG0002873	STRPU_08690	TCONS_00014159.p1
OG0002873	STRPU_08690	APOSJ_14384, APOSJ_14383, APOSJ_24938, APOSJ_14380, APOSJ_24940, APOSJ_14382, APOSJ_24951, APOSJ_14381
OG0002873	STRPU_08690	APOSC_00132
OG0002874	STRPU_22380	HUMAN20546
OG0002874	STRPU_22380	ASTMX22419
OG0002892	STRPU_19576	DANRE19161
OG0002977	STRPU_15051	AMPFI_18550
OG0002989	STRPU_22387	MOUSE11229
OG0002989	STRPU_22387	ORYLA14532, ORYLA14531
OG0002989	STRPU_22387	ASTMX22597
OG0003011	STRPU_04936	HUMAN10459
OG0003011	STRPU_04936	ORYLA00615
OG0003017	STRPU_12917	HUMAN14078, HUMAN14075
OG0003113	STRPU_07108	ORYLA10064
OG0003319	STRPU_07210	HUMAN19328
OG0003321	STRPU_25433	MOUSE28457
OG0003365	STRPU_24219, STRPU_01081	MOUSE35392
OG0003432	STRPU_24262, STRPU_01043	HUMAN13670
OG0003447	STRPU_23990	APOSJ_05681
OG0003447	STRPU_23990	AMPFI_22475
OG0003462	STRPU_01190, STRPU_19960	MOUSE50378
OG0003464	STRPU_08415	MOUSE38665, MOUSE38667
OG0003523	STRPU_11145	HUMAN21873
OG0003546	STRPU_19646	BRALA35137
