00_Uf_02	00_Uf	02	2
01_1632_01	01_1632	01	1
01_1632_02	01_1632	02	2
02_EB_02	02_EB	02	2
02_EB_03	02_EB	03	3
03_LB_01	03_LB	01	1
03_LB_02	03_LB	02	2
04_EG_01	04_EG	01	1
04_EG_02	04_EG	02	2
04_EG_04	04_EG	04	5
05_MG1_01	05_MG1	01	1
05_MG1_02	05_MG1	02	2
05_MG1_04	05_MG1	04	5
06_MG2_02	06_MG2	02	2
06_MG2_03	06_MG2	03	3
07_LG_01	07_LG	01	1
07_LG_02	07_LG	02	2
08_Tor_01	08_Tor	01	1
08_Tor_02	08_Tor	02	2
09_Hei_05	09_Hei	05	1
09_Hei_09	09_Hei	09	4
10_Me_05	10_Me	05	1
10_Me_06	10_Me	06	3
11_Kr_06	11_Kr	06	3
11_Kr_10	11_Kr	10	2
12_Sp_06	12_Sp	06	3
12_Sp_07	12_Sp	07	1
13_Ag_06	13_Ag	06	3
13_Ag_07	13_Ag	07	1
14_TL_06	14_TL	06	3
15_Ad_11	15_Ad	11	1
