#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_3/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_3/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_3/0.0498026971045.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_3/target.clean..pos
BGpeak38479	Scaffold_19_1_contigs	25299983	25300467	+	0.000	0.000	peak38479
BGpeak38569	Scaffold_19_1_contigs	25995826	25996132	+	0.000	0.000	peak38569
BGpeak73030	Scaffold_7_1_contigs	20981717	20982007	+	0.000	0.000	peak73030
BGpeak38714	Scaffold_19_1_contigs	27409669	27410077	+	0.000	0.000	peak38714
BGpeak73088	Scaffold_7_1_contigs	21747434	21748014	+	0.000	0.000	peak73088
BGpeak38789	Scaffold_19_1_contigs	28515507	28515886	+	0.000	0.000	peak38789
BGpeak73157	Scaffold_7_1_contigs	22374354	22374825	+	0.000	0.000	peak73157
BGpeak73178	Scaffold_7_1_contigs	22641858	22642138	+	0.000	0.000	peak73178
BGpeak38898	Scaffold_19_1_contigs	29900883	29901147	+	0.000	0.000	peak38898
BGpeak73258	Scaffold_7_1_contigs	23832465	23832835	+	0.000	0.000	peak73258
BGpeak38982	Scaffold_19_1_contigs	30502129	30502448	+	0.000	0.000	peak38982
BGpeak73423	Scaffold_7_1_contigs	27550271	27550790	+	0.000	0.000	peak73423
BGpeak73645	Scaffold_7_1_contigs	31659058	31659387	+	0.000	0.000	peak73645
BGpeak73664	Scaffold_7_1_contigs	31859347	31859897	+	0.000	0.000	peak73664
BGpeak73783	Scaffold_7_1_contigs	33017745	33018188	+	0.000	0.000	peak73783
BGpeak21007	Scaffold_14_1_contigs	31087240	31087544	+	0.000	0.000	peak21007
BGpeak21085	Scaffold_14_1_contigs	31796833	31797233	+	0.000	0.000	peak21085
BGpeak21123	Scaffold_14_1_contigs	32341824	32342179	+	0.000	0.000	peak21123
BGpeak2605	Scaffold_10_1_contigs	36456463	36456752	+	0.000	0.000	peak2605
BGpeak2689	Scaffold_10_1_contigs	37364624	37364949	+	0.000	0.000	peak2689
BGpeak2692	Scaffold_10_1_contigs	37513676	37514086	+	0.000	0.000	peak2692
BGpeak21204	Scaffold_14_1_contigs	32903002	32903445	+	0.000	0.000	peak21204
BGpeak21266	Scaffold_14_1_contigs	33574421	33574756	+	0.000	0.000	peak21266
BGpeak2859	Scaffold_10_1_contigs	39138786	39139003	+	0.000	0.000	peak2859
BGpeak2870	Scaffold_10_1_contigs	39186836	39187161	+	0.000	0.000	peak2870
BGpeak21441	Scaffold_14_1_contigs	36211669	36212194	+	0.000	0.000	peak21441
BGpeak2913	Scaffold_10_1_contigs	39861703	39862405	+	0.000	0.000	peak2913
BGpeak21533	Scaffold_14_1_contigs	37317760	37318074	+	0.000	0.000	peak21533
BGpeak21579	Scaffold_14_1_contigs	37553191	37553638	+	0.000	0.000	peak21579
BGpeak21617	Scaffold_14_1_contigs	37977099	37977598	+	0.000	0.000	peak21617
BGpeak39056	Scaffold_19_1_contigs	31148055	31148455	+	0.000	0.000	peak39056
BGpeak39134	Scaffold_19_1_contigs	32210227	32210464	+	0.000	0.000	peak39134
BGpeak39146	Scaffold_19_1_contigs	32418891	32419246	+	0.000	0.000	peak39146
BGpeak39171	Scaffold_19_1_contigs	32648110	32648605	+	0.000	0.000	peak39171
BGpeak39276	Scaffold_19_1_contigs	33636171	33636536	+	0.000	0.000	peak39276
BGpeak39281	Scaffold_19_1_contigs	33686805	33687089	+	0.000	0.000	peak39281
BGpeak39339	Scaffold_19_1_contigs	34058354	34058842	+	0.000	0.000	peak39339
BGpeak39349	Scaffold_19_1_contigs	34225394	34225642	+	0.000	0.000	peak39349
BGpeak39476	Scaffold_19_1_contigs	35593828	35594271	+	0.000	0.000	peak39476
BGpeak39652	Scaffold_19_1_contigs	36468173	36468981	+	0.000	0.000	peak39652
BGpeak39653	Scaffold_19_1_contigs	36472772	36472925	+	0.000	0.000	peak39653
BGpeak39686	Scaffold_19_1_contigs	36732554	36732837	+	0.000	0.000	peak39686
BGpeak74079	Scaffold_7_1_contigs	35870504	35871092	+	0.000	0.000	peak74079
BGpeak74141	Scaffold_7_1_contigs	36514704	36514905	+	0.000	0.000	peak74141
BGpeak74156	Scaffold_7_1_contigs	36678762	36679179	+	0.000	0.000	peak74156
BGpeak39837	Scaffold_19_1_contigs	38477228	38477447	+	0.000	0.000	peak39837
BGpeak39840	Scaffold_19_1_contigs	38480971	38481330	+	0.000	0.000	peak39840
BGpeak74292	Scaffold_7_1_contigs	38067141	38067458	+	0.000	0.000	peak74292
BGpeak74321	Scaffold_7_1_contigs	38197495	38197702	+	0.000	0.000	peak74321
BGpeak74663	Scaffold_7_1_contigs	42950499	42951076	+	0.000	0.000	peak74663
BGpeak74732	Scaffold_7_1_contigs	44778616	44778942	+	0.000	0.000	peak74732
BGpeak74869	Scaffold_7_1_contigs	46140149	46140383	+	0.000	0.000	peak74869
BGpeak74910	Scaffold_7_1_contigs	46616886	46617619	+	0.000	0.000	peak74910
BGpeak74912	Scaffold_7_1_contigs	46624965	46625852	+	0.000	0.000	peak74912
BGpeak3177	Scaffold_10_1_contigs	42947628	42948043	+	0.000	0.000	peak3177
BGpeak3189	Scaffold_10_1_contigs	43057472	43057739	+	0.000	0.000	peak3189
BGpeak3250	Scaffold_10_1_contigs	43908890	43909153	+	0.000	0.000	peak3250
BGpeak3259	Scaffold_103_1_contigs	52009	52311	+	0.000	0.000	peak3259
BGpeak3372	Scaffold_11_1_contigs	869468	869835	+	0.000	0.000	peak3372
BGpeak3379	Scaffold_11_1_contigs	895028	895251	+	0.000	0.000	peak3379
BGpeak3396	Scaffold_11_1_contigs	997752	998033	+	0.000	0.000	peak3396
BGpeak3444	Scaffold_11_1_contigs	1891317	1891573	+	0.000	0.000	peak3444
BGpeak3469	Scaffold_11_1_contigs	1952351	1952804	+	0.000	0.000	peak3469
BGpeak3530	Scaffold_11_1_contigs	2346604	2347031	+	0.000	0.000	peak3530
BGpeak3541	Scaffold_11_1_contigs	2387548	2387904	+	0.000	0.000	peak3541
BGpeak3649	Scaffold_11_1_contigs	3901695	3902005	+	0.000	0.000	peak3649
BGpeak22207	Scaffold_15_1_contigs	1723961	1725017	+	0.000	0.000	peak22207
BGpeak22235	Scaffold_15_1_contigs	2196018	2196395	+	0.000	0.000	peak22235
BGpeak22238	Scaffold_15_1_contigs	2203526	2203731	+	0.000	0.000	peak22238
BGpeak22283	Scaffold_15_1_contigs	2539485	2539905	+	0.000	0.000	peak22283
BGpeak22295	Scaffold_15_1_contigs	2648450	2648711	+	0.000	0.000	peak22295
BGpeak3726	Scaffold_11_1_contigs	4434400	4434868	+	0.000	0.000	peak3726
BGpeak3745	Scaffold_11_1_contigs	4563085	4563450	+	0.000	0.000	peak3745
BGpeak3782	Scaffold_11_1_contigs	4802062	4802632	+	0.000	0.000	peak3782
BGpeak22342	Scaffold_15_1_contigs	2944866	2945215	+	0.000	0.000	peak22342
BGpeak3806	Scaffold_11_1_contigs	5214203	5214654	+	0.000	0.000	peak3806
BGpeak3862	Scaffold_11_1_contigs	5790144	5790621	+	0.000	0.000	peak3862
BGpeak3942	Scaffold_11_1_contigs	6088815	6089159	+	0.000	0.000	peak3942
BGpeak3960	Scaffold_11_1_contigs	6319092	6319483	+	0.000	0.000	peak3960
BGpeak3969	Scaffold_11_1_contigs	6872855	6873262	+	0.000	0.000	peak3969
BGpeak22539	Scaffold_15_1_contigs	4358498	4358651	+	0.000	0.000	peak22539
BGpeak22639	Scaffold_15_1_contigs	4980506	4980740	+	0.000	0.000	peak22639
BGpeak22649	Scaffold_15_1_contigs	5155367	5155823	+	0.000	0.000	peak22649
BGpeak22692	Scaffold_15_1_contigs	5524458	5525346	+	0.000	0.000	peak22692
BGpeak22697	Scaffold_15_1_contigs	5558906	5559189	+	0.000	0.000	peak22697
BGpeak22892	Scaffold_15_1_contigs	7326614	7326855	+	0.000	0.000	peak22892
BGpeak22938	Scaffold_15_1_contigs	7934353	7934925	+	0.000	0.000	peak22938
BGpeak22959	Scaffold_15_1_contigs	8242618	8242856	+	0.000	0.000	peak22959
BGpeak75033	Scaffold_8_1_contigs	225168	225386	+	0.000	0.000	peak75033
BGpeak75040	Scaffold_8_1_contigs	281514	281824	+	0.000	0.000	peak75040
BGpeak75077	Scaffold_8_1_contigs	425453	426084	+	0.000	0.000	peak75077
BGpeak75175	Scaffold_8_1_contigs	1725182	1725751	+	0.000	0.000	peak75175
BGpeak75177	Scaffold_8_1_contigs	1752721	1752962	+	0.000	0.000	peak75177
BGpeak75302	Scaffold_8_1_contigs	2543457	2543712	+	0.000	0.000	peak75302
BGpeak75311	Scaffold_8_1_contigs	2586334	2586659	+	0.000	0.000	peak75311
BGpeak75313	Scaffold_8_1_contigs	2590672	2591049	+	0.000	0.000	peak75313
BGpeak75424	Scaffold_8_1_contigs	3996113	3996528	+	0.000	0.000	peak75424
BGpeak75481	Scaffold_8_1_contigs	4238228	4238547	+	0.000	0.000	peak75481
BGpeak75483	Scaffold_8_1_contigs	4242928	4243299	+	0.000	0.000	peak75483
BGpeak75569	Scaffold_8_1_contigs	5749523	5749923	+	0.000	0.000	peak75569
BGpeak75657	Scaffold_8_1_contigs	6439643	6440328	+	0.000	0.000	peak75657
BGpeak75724	Scaffold_8_1_contigs	6869515	6869764	+	0.000	0.000	peak75724
BGpeak75757	Scaffold_8_1_contigs	7058480	7059017	+	0.000	0.000	peak75757
BGpeak75760	Scaffold_8_1_contigs	7075977	7076229	+	0.000	0.000	peak75760
BGpeak75796	Scaffold_8_1_contigs	7292462	7292687	+	0.000	0.000	peak75796
BGpeak75918	Scaffold_8_1_contigs	8353871	8354307	+	0.000	0.000	peak75918
BGpeak4024	Scaffold_11_1_contigs	7222307	7222759	+	0.000	0.000	peak4024
BGpeak4025	Scaffold_11_1_contigs	7224980	7225600	+	0.000	0.000	peak4025
BGpeak4150	Scaffold_11_1_contigs	8429580	8429871	+	0.000	0.000	peak4150
BGpeak4163	Scaffold_11_1_contigs	8478338	8478620	+	0.000	0.000	peak4163
BGpeak4448	Scaffold_11_1_contigs	12468612	12469024	+	0.000	0.000	peak4448
BGpeak23048	Scaffold_15_1_contigs	9935491	9935965	+	0.000	0.000	peak23048
BGpeak4562	Scaffold_11_1_contigs	14043312	14043693	+	0.000	0.000	peak4562
BGpeak4563	Scaffold_11_1_contigs	14044313	14044770	+	0.000	0.000	peak4563
BGpeak23149	Scaffold_15_1_contigs	11012604	11013035	+	0.000	0.000	peak23149
BGpeak23213	Scaffold_15_1_contigs	11592008	11592325	+	0.000	0.000	peak23213
BGpeak23327	Scaffold_15_1_contigs	13044767	13045277	+	0.000	0.000	peak23327
BGpeak23349	Scaffold_15_1_contigs	13193589	13194209	+	0.000	0.000	peak23349
BGpeak4883	Scaffold_11_1_contigs	17087294	17087513	+	0.000	0.000	peak4883
